var_name,full_name,short_name
fips,fips,
year,cohort year,
value,actual hospitalization,
value_hat,predicted hospitalization,
geo_id,geo_id,
state,state,
county,county,
days_with_aqi_aqi_ind,"num of days with AQI records(AQI current year, imputation indicator)",
good_days_aqi_ind,"num of good days(AQI current year, imputation indicator)",
moderate_days_aqi_ind,"num of moderate days(AQI current year, imputation indicator)",
unhealthy_for_sensitive_groups_days_aqi_ind,"num of unhealthy days for sensitive groups(AQI current year, imputation indicator)",
unhealthy_days_aqi_ind,"num of unhealthy days(AQI current year, imputation indicator)",
very_unhealthy_days_aqi_ind,"num of very unhealthy days(AQI current year, imputation indicator)",
hazardous_days_aqi_ind,"num of hazardous days(AQI current year, imputation indicator)",
max_aqi_aqi_ind,"max AQI(AQI current year, imputation indicator)",
90th_percentile_aqi_aqi_ind,"90th percentile AQI(AQI current year, imputation indicator)",
median_aqi_aqi_ind,"median AQI(AQI current year, imputation indicator)",
days_co_aqi_ind,"num of days with CO(AQI current year, imputation indicator)",
days_no2_aqi_ind,"num of days with NO2(AQI current year, imputation indicator)",
days_ozone_aqi_ind,"num of days with Ozone(AQI current year, imputation indicator)",
days_so2_aqi_ind,"num of days with SO2(AQI current year, imputation indicator)",
days_pm2.5_aqi_ind,"num of days with PM2.5(AQI current year, imputation indicator)",
days_pm10_aqi_ind,"num of days with PM10(AQI current year, imputation indicator)",
good_days_pct_aqi_ind,"pct of good days(AQI current year, imputation indicator)",
moderate_days_pct_aqi_ind,"pct of moderate days(AQI current year, imputation indicator)",
unhealthy_for_sensitive_groups_days_pct_aqi_ind,"pct of unhealthy days for sensitive groups(AQI current year, imputation indicator)",
unhealthy_days_pct_aqi_ind,"pct of unhealthy days(AQI current year, imputation indicator)",
very_unhealthy_days_pct_aqi_ind,"pct of very unhealthy days(AQI current year, imputation indicator)",
hazardous_days_pct_aqi_ind,"pct of hazardous days(AQI current year, imputation indicator)",
days_co_pct_aqi_ind,"pct of days with CO(AQI current year, imputation indicator)",
days_no2_pct_aqi_ind,"pct of days with NO2(AQI current year, imputation indicator)",
days_ozone_pct_aqi_ind,"pct of days with Ozone(AQI current year, imputation indicator)",
days_so2_pct_aqi_ind,"pct of days with SO2(AQI current year, imputation indicator)",
days_pm2.5_pct_aqi_ind,"pct of days with PM2.5(AQI current year, imputation indicator)",
days_pm10_pct_aqi_ind,"pct of days with PM10(AQI current year, imputation indicator)",
days_with_aqi_prev_8_aqi_ind,"num of days with AQI records(AQI prev 8 years, imputation indicator)",
good_days_prev_8_aqi_ind,"num of good days(AQI prev 8 years, imputation indicator)",
moderate_days_prev_8_aqi_ind,"num of moderate days(AQI prev 8 years, imputation indicator)",
unhealthy_for_sensitive_groups_days_prev_8_aqi_ind,"num of unhealthy days for sensitive groups(AQI prev 8 years, imputation indicator)",
unhealthy_days_prev_8_aqi_ind,"num of unhealthy days(AQI prev 8 years, imputation indicator)",
very_unhealthy_days_prev_8_aqi_ind,"num of very unhealthy days(AQI prev 8 years, imputation indicator)",
hazardous_days_prev_8_aqi_ind,"num of hazardous days(AQI prev 8 years, imputation indicator)",
max_aqi_prev_8_aqi_ind,"max AQI(AQI prev 8 years, imputation indicator)",
90th_percentile_aqi_prev_8_aqi_ind,"90th percentile AQI(AQI prev 8 years, imputation indicator)",
median_aqi_prev_8_aqi_ind,"median AQI(AQI prev 8 years, imputation indicator)",
days_co_prev_8_aqi_ind,"num of days with CO(AQI prev 8 years, imputation indicator)",
days_no2_prev_8_aqi_ind,"num of days with NO2(AQI prev 8 years, imputation indicator)",
days_ozone_prev_8_aqi_ind,"num of days with Ozone(AQI prev 8 years, imputation indicator)",
days_so2_prev_8_aqi_ind,"num of days with SO2(AQI prev 8 years, imputation indicator)",
days_pm2.5_prev_8_aqi_ind,"num of days with PM2.5(AQI prev 8 years, imputation indicator)",
days_pm10_prev_8_aqi_ind,"num of days with PM10(AQI prev 8 years, imputation indicator)",
good_days_pct_prev_8_aqi_ind,"pct of good days(AQI prev 8 years, imputation indicator)",
moderate_days_pct_prev_8_aqi_ind,"pct of moderate days(AQI prev 8 years, imputation indicator)",
unhealthy_for_sensitive_groups_days_pct_prev_8_aqi_ind,"pct of unhealthy days for sensitive groups(AQI prev 8 years, imputation indicator)",
unhealthy_days_pct_prev_8_aqi_ind,"pct of unhealthy days(AQI prev 8 years, imputation indicator)",
very_unhealthy_days_pct_prev_8_aqi_ind,"pct of very unhealthy days(AQI prev 8 years, imputation indicator)",
hazardous_days_pct_prev_8_aqi_ind,"pct of hazardous days(AQI prev 8 years, imputation indicator)",
days_co_pct_prev_8_aqi_ind,"pct of days with CO(AQI prev 8 years, imputation indicator)",
days_no2_pct_prev_8_aqi_ind,"pct of days with NO2(AQI prev 8 years, imputation indicator)",
days_ozone_pct_prev_8_aqi_ind,"pct of days with Ozone(AQI prev 8 years, imputation indicator)",
days_so2_pct_prev_8_aqi_ind,"pct of days with SO2(AQI prev 8 years, imputation indicator)",
days_pm2.5_pct_prev_8_aqi_ind,"pct of days with PM2.5(AQI prev 8 years, imputation indicator)",
days_pm10_pct_prev_8_aqi_ind,"pct of days with PM10(AQI prev 8 years, imputation indicator)",
population_all_county_ind,"population(ACS county, imputation indicator)",
population_65_county_ind,"population over 65(ACS county, imputation indicator)",
income_median_house_65_county_ind,"household median income over 65(ACS county, imputation indicator)",
income_median_house_all_county_ind,"household median income(ACS county, imputation indicator)",
per_poverty_all_county_ind,"pct of poverty(ACS county, imputation indicator)",
per_poverty_65_county_ind,"pct of poverty over 65(ACS county, imputation indicator)",
per_male_all_county_ind,"pct of male(ACS county, imputation indicator)",
per_hear_diffi_65_county_ind,"pct of hearing difficulty over 65(ACS county, imputation indicator)",
per_vision_diffi_65_county_ind,"pct of vision difficulty over 65(ACS county, imputation indicator)",
