Code_2010,Code_2011,Code_2012,Code_2013,Code_2014,Code_2015,Code_2016,Code_2017,Code_2018,Code_2019
S1501_C01_025E,S1501_C01_025E,S1501_C01_025E,S1501_C01_025E,S1501_C01_025E,S1501_C01_025E,S1501_C01_025E,S1501_C01_025E,S1501_C01_025E,S1501_C01_025E
S1501_C01_026E,S1501_C01_026E,S1501_C01_026E,S1501_C01_026E,S1501_C01_026E,S1501_C01_026E,S1501_C01_026E,S1501_C01_026E,S1501_C01_026E,S1501_C01_026E
S1501_C01_027E,S1501_C01_027E,S1501_C01_027E,S1501_C01_027E,S1501_C01_027E,S1501_C01_027E,S1501_C01_027E,S1501_C01_027E,S1501_C01_027E,S1501_C01_027E
S1903_C02_015E,S1903_C02_014E,S1903_C02_014E,S1903_C02_014E,S1903_C02_014E,S1903_C02_014E,S1903_C02_014E,S1903_C03_014E,S1903_C03_014E,S1903_C03_014E
S1903_C02_001E,S1903_C02_001E,S1903_C02_001E,S1903_C02_001E,S1903_C02_001E,S1903_C02_001E,S1903_C02_001E,S1903_C03_001E,S1903_C03_001E,S1903_C03_001E
S2301_C03_007E,S2301_C03_007E,S2301_C03_007E,S2301_C03_007E,S2301_C03_007E,S2301_C03_010E,S2301_C03_010E,S2301_C03_010E,S2301_C03_010E,S2301_C03_010E
S2301_C03_008E,S2301_C03_008E,S2301_C03_008E,S2301_C03_008E,S2301_C03_008E,S2301_C02_011E,S2301_C02_011E,S2301_C02_011E,S2301_C02_011E,S2301_C02_011E
S0101_C01_015E,S0101_C01_015E,S0101_C01_015E,S0101_C01_015E,S0101_C01_015E,S0101_C01_015E,S0101_C01_015E,S0101_C01_015E,S0101_C01_015E,S0101_C01_015E
S0101_C01_016E,S0101_C01_016E,S0101_C01_016E,S0101_C01_016E,S0101_C01_016E,S0101_C01_016E,S0101_C01_016E,S0101_C01_016E,S0101_C01_016E,S0101_C01_016E
S0101_C01_017E,S0101_C01_017E,S0101_C01_017E,S0101_C01_017E,S0101_C01_017E,S0101_C01_017E,S0101_C01_017E,S0101_C01_017E,S0101_C01_017E,S0101_C01_017E
S0101_C01_018E,S0101_C01_018E,S0101_C01_018E,S0101_C01_018E,S0101_C01_018E,S0101_C01_018E,S0101_C01_018E,S0101_C01_018E,S0101_C01_018E,S0101_C01_018E
S0101_C01_019E,S0101_C01_019E,S0101_C01_019E,S0101_C01_019E,S0101_C01_019E,S0101_C01_019E,S0101_C01_019E,S0101_C01_019E,S0101_C01_019E,S0101_C01_019E
S1701_C01_001E,S1701_C01_001E,S1701_C01_001E,S1701_C01_001E,S1701_C01_001E,S1701_C01_001E,S1701_C01_001E,S1701_C01_001E,S1701_C01_001E,S1701_C01_001E
S1701_C02_001E,S1701_C02_001E,S1701_C02_001E,S1701_C02_001E,S1701_C02_001E,S1701_C02_001E,S1701_C02_001E,S1701_C02_001E,S1701_C02_001E,S1701_C02_001E
S1701_C01_005E,S1701_C01_005E,S1701_C01_005E,S1701_C01_005E,S1701_C01_005E,S1701_C01_010E,S1701_C01_010E,S1701_C01_010E,S1701_C01_010E,S1701_C01_010E
S1701_C02_005E,S1701_C02_005E,S1701_C02_005E,S1701_C02_005E,S1701_C02_005E,S1701_C02_010E,S1701_C02_010E,S1701_C02_010E,S1701_C02_010E,S1701_C02_010E
S0101_C01_031E,S0101_C01_031E,S0101_C01_031E,S0101_C01_031E,S0101_C01_031E,S0101_C01_031E,S0101_C01_031E,S0101_C01_033E,S0101_C01_033E,S0101_C01_033E
S0101_C02_028E,S0101_C02_028E,S0101_C02_028E,S0101_C02_028E,S0101_C02_028E,S0101_C02_028E,S0101_C02_028E,S0101_C03_030E,S0101_C03_030E,S0101_C03_030E
S0101_C03_028E,S0101_C03_028E,S0101_C03_028E,S0101_C03_028E,S0101_C03_028E,S0101_C03_028E,S0101_C03_028E,S0101_C05_030E,S0101_C05_030E,S0101_C05_030E
S1810_C03_019E,S1810_C03_019E,S1810_C03_019E,S1810_C03_019E,S1810_C03_019E,S1810_C03_026E,S1810_C03_026E,S1810_C03_026E,S1810_C03_026E,S1810_C03_026E
S1810_C03_020E,S1810_C03_020E,S1810_C03_020E,S1810_C03_020E,S1810_C03_020E,S1810_C03_036E,S1810_C03_036E,S1810_C03_036E,S1810_C03_036E,S1810_C03_036E
S1810_C03_021E,S1810_C03_021E,S1810_C03_021E,S1810_C03_021E,S1810_C03_021E,S1810_C03_044E,S1810_C03_044E,S1810_C03_044E,S1810_C03_044E,S1810_C03_044E
S1810_C03_022E,S1810_C03_022E,S1810_C03_022E,S1810_C03_022E,S1810_C03_022E,S1810_C03_052E,S1810_C03_052E,S1810_C03_052E,S1810_C03_052E,S1810_C03_052E
S1810_C03_023E,S1810_C03_023E,S1810_C03_023E,S1810_C03_023E,S1810_C03_023E,S1810_C03_060E,S1810_C03_060E,S1810_C03_060E,S1810_C03_060E,S1810_C03_060E
S1810_C03_024E,S1810_C03_024E,S1810_C03_024E,S1810_C03_024E,S1810_C03_024E,S1810_C03_067E,S1810_C03_067E,S1810_C03_067E,S1810_C03_067E,S1810_C03_067E
S2101_C02_012E,S2101_C02_012E,S2101_C02_012E,S2101_C02_012E,S2101_C02_012E,S2101_C03_012E,S2101_C03_012E,S2101_C03_012E,S2101_C03_012E,S2101_C03_012E
S2101_C02_013E,S2101_C02_013E,S2101_C02_013E,S2101_C02_013E,S2101_C02_013E,S2101_C03_013E,S2101_C03_013E,S2101_C03_013E,S2101_C03_013E,S2101_C03_013E
S2201_C02_001E,S2201_C02_001E,S2201_C02_001E,S2201_C02_001E,S2201_C02_001E,S2201_C03_001E,S2201_C03_001E,S2201_C03_001E,S2201_C03_001E,S2201_C03_001E
S2201_C01_001E,S2201_C01_001E,S2201_C01_001E,S2201_C01_001E,S2201_C01_001E,S2201_C01_001E,S2201_C01_001E,S2201_C01_001E,S2201_C01_001E,S2201_C01_001E
S2701_C01_004E,S2701_C01_004E,S2701_C01_004E,S2701_C01_004E,S2701_C01_004E,S2701_C01_011E,S2701_C01_011E,S2701_C01_013E,S2701_C01_013E,S2701_C01_013E
S2701_C02_004E,S2701_C02_004E,S2701_C02_004E,S2701_C02_004E,S2701_C02_004E,S2701_C04_011E,S2701_C04_011E,S2701_C04_013E,S2701_C04_013E,S2701_C04_013E
B02001_002E,B02001_002E,B02001_002E,B02001_002E,B02001_002E,B02001_002E,B02001_002E,B02001_002E,B02001_002E,B02001_002E
B02001_003E,B02001_003E,B02001_003E,B02001_003E,B02001_003E,B02001_003E,B02001_003E,B02001_003E,B02001_003E,B02001_003E
B02001_004E,B02001_004E,B02001_004E,B02001_004E,B02001_004E,B02001_004E,B02001_004E,B02001_004E,B02001_004E,B02001_004E
B02001_005E,B02001_005E,B02001_005E,B02001_005E,B02001_005E,B02001_005E,B02001_005E,B02001_005E,B02001_005E,B02001_005E
B02001_006E,B02001_006E,B02001_006E,B02001_006E,B02001_006E,B02001_006E,B02001_006E,B02001_006E,B02001_006E,B02001_006E
B02001_007E,B02001_007E,B02001_007E,B02001_007E,B02001_007E,B02001_007E,B02001_007E,B02001_007E,B02001_007E,B02001_007E
B02001_008E,B02001_008E,B02001_008E,B02001_008E,B02001_008E,B02001_008E,B02001_008E,B02001_008E,B02001_008E,B02001_008E
B02001_001E,B02001_001E,B02001_001E,B02001_001E,B02001_001E,B02001_001E,B02001_001E,B02001_001E,B02001_001E,B02001_001E
B01001A_014E,B01001A_014E,B01001A_014E,B01001A_014E,B01001A_014E,B01001A_014E,B01001A_014E,B01001A_014E,B01001A_014E,B01001A_014E
B01001A_015E,B01001A_015E,B01001A_015E,B01001A_015E,B01001A_015E,B01001A_015E,B01001A_015E,B01001A_015E,B01001A_015E,B01001A_015E
B01001A_016E,B01001A_016E,B01001A_016E,B01001A_016E,B01001A_016E,B01001A_016E,B01001A_016E,B01001A_016E,B01001A_016E,B01001A_016E
B01001A_029E,B01001A_029E,B01001A_029E,B01001A_029E,B01001A_029E,B01001A_029E,B01001A_029E,B01001A_029E,B01001A_029E,B01001A_029E
B01001A_030E,B01001A_030E,B01001A_030E,B01001A_030E,B01001A_030E,B01001A_030E,B01001A_030E,B01001A_030E,B01001A_030E,B01001A_030E
B01001A_031E,B01001A_031E,B01001A_031E,B01001A_031E,B01001A_031E,B01001A_031E,B01001A_031E,B01001A_031E,B01001A_031E,B01001A_031E
B01001B_014E,B01001B_014E,B01001B_014E,B01001B_014E,B01001B_014E,B01001B_014E,B01001B_014E,B01001B_014E,B01001B_014E,B01001B_014E
B01001B_015E,B01001B_015E,B01001B_015E,B01001B_015E,B01001B_015E,B01001B_015E,B01001B_015E,B01001B_015E,B01001B_015E,B01001B_015E
B01001B_016E,B01001B_016E,B01001B_016E,B01001B_016E,B01001B_016E,B01001B_016E,B01001B_016E,B01001B_016E,B01001B_016E,B01001B_016E
B01001B_029E,B01001B_029E,B01001B_029E,B01001B_029E,B01001B_029E,B01001B_029E,B01001B_029E,B01001B_029E,B01001B_029E,B01001B_029E
B01001B_030E,B01001B_030E,B01001B_030E,B01001B_030E,B01001B_030E,B01001B_030E,B01001B_030E,B01001B_030E,B01001B_030E,B01001B_030E
B01001B_031E,B01001B_031E,B01001B_031E,B01001B_031E,B01001B_031E,B01001B_031E,B01001B_031E,B01001B_031E,B01001B_031E,B01001B_031E
B01001C_014E,B01001C_014E,B01001C_014E,B01001C_014E,B01001C_014E,B01001C_014E,B01001C_014E,B01001C_014E,B01001C_014E,B01001C_014E
B01001C_015E,B01001C_015E,B01001C_015E,B01001C_015E,B01001C_015E,B01001C_015E,B01001C_015E,B01001C_015E,B01001C_015E,B01001C_015E
B01001C_016E,B01001C_016E,B01001C_016E,B01001C_016E,B01001C_016E,B01001C_016E,B01001C_016E,B01001C_016E,B01001C_016E,B01001C_016E
B01001C_029E,B01001C_029E,B01001C_029E,B01001C_029E,B01001C_029E,B01001C_029E,B01001C_029E,B01001C_029E,B01001C_029E,B01001C_029E
B01001C_030E,B01001C_030E,B01001C_030E,B01001C_030E,B01001C_030E,B01001C_030E,B01001C_030E,B01001C_030E,B01001C_030E,B01001C_030E
B01001C_031E,B01001C_031E,B01001C_031E,B01001C_031E,B01001C_031E,B01001C_031E,B01001C_031E,B01001C_031E,B01001C_031E,B01001C_031E
B01001D_014E,B01001D_014E,B01001D_014E,B01001D_014E,B01001D_014E,B01001D_014E,B01001D_014E,B01001D_014E,B01001D_014E,B01001D_014E
B01001D_015E,B01001D_015E,B01001D_015E,B01001D_015E,B01001D_015E,B01001D_015E,B01001D_015E,B01001D_015E,B01001D_015E,B01001D_015E
B01001D_016E,B01001D_016E,B01001D_016E,B01001D_016E,B01001D_016E,B01001D_016E,B01001D_016E,B01001D_016E,B01001D_016E,B01001D_016E
B01001D_029E,B01001D_029E,B01001D_029E,B01001D_029E,B01001D_029E,B01001D_029E,B01001D_029E,B01001D_029E,B01001D_029E,B01001D_029E
B01001D_030E,B01001D_030E,B01001D_030E,B01001D_030E,B01001D_030E,B01001D_030E,B01001D_030E,B01001D_030E,B01001D_030E,B01001D_030E
B01001D_031E,B01001D_031E,B01001D_031E,B01001D_031E,B01001D_031E,B01001D_031E,B01001D_031E,B01001D_031E,B01001D_031E,B01001D_031E
B01001E_014E,B01001E_014E,B01001E_014E,B01001E_014E,B01001E_014E,B01001E_014E,B01001E_014E,B01001E_014E,B01001E_014E,B01001E_014E
B01001E_015E,B01001E_015E,B01001E_015E,B01001E_015E,B01001E_015E,B01001E_015E,B01001E_015E,B01001E_015E,B01001E_015E,B01001E_015E
B01001E_016E,B01001E_016E,B01001E_016E,B01001E_016E,B01001E_016E,B01001E_016E,B01001E_016E,B01001E_016E,B01001E_016E,B01001E_016E
B01001E_029E,B01001E_029E,B01001E_029E,B01001E_029E,B01001E_029E,B01001E_029E,B01001E_029E,B01001E_029E,B01001E_029E,B01001E_029E
B01001E_030E,B01001E_030E,B01001E_030E,B01001E_030E,B01001E_030E,B01001E_030E,B01001E_030E,B01001E_030E,B01001E_030E,B01001E_030E
B01001E_031E,B01001E_031E,B01001E_031E,B01001E_031E,B01001E_031E,B01001E_031E,B01001E_031E,B01001E_031E,B01001E_031E,B01001E_031E
B01001F_014E,B01001F_014E,B01001F_014E,B01001F_014E,B01001F_014E,B01001F_014E,B01001F_014E,B01001F_014E,B01001F_014E,B01001F_014E
B01001F_015E,B01001F_015E,B01001F_015E,B01001F_015E,B01001F_015E,B01001F_015E,B01001F_015E,B01001F_015E,B01001F_015E,B01001F_015E
B01001F_016E,B01001F_016E,B01001F_016E,B01001F_016E,B01001F_016E,B01001F_016E,B01001F_016E,B01001F_016E,B01001F_016E,B01001F_016E
B01001F_029E,B01001F_029E,B01001F_029E,B01001F_029E,B01001F_029E,B01001F_029E,B01001F_029E,B01001F_029E,B01001F_029E,B01001F_029E
B01001F_030E,B01001F_030E,B01001F_030E,B01001F_030E,B01001F_030E,B01001F_030E,B01001F_030E,B01001F_030E,B01001F_030E,B01001F_030E
B01001F_031E,B01001F_031E,B01001F_031E,B01001F_031E,B01001F_031E,B01001F_031E,B01001F_031E,B01001F_031E,B01001F_031E,B01001F_031E
B01001G_014E,B01001G_014E,B01001G_014E,B01001G_014E,B01001G_014E,B01001G_014E,B01001G_014E,B01001G_014E,B01001G_014E,B01001G_014E
B01001G_015E,B01001G_015E,B01001G_015E,B01001G_015E,B01001G_015E,B01001G_015E,B01001G_015E,B01001G_015E,B01001G_015E,B01001G_015E
B01001G_016E,B01001G_016E,B01001G_016E,B01001G_016E,B01001G_016E,B01001G_016E,B01001G_016E,B01001G_016E,B01001G_016E,B01001G_016E
B01001G_029E,B01001G_029E,B01001G_029E,B01001G_029E,B01001G_029E,B01001G_029E,B01001G_029E,B01001G_029E,B01001G_029E,B01001G_029E
B01001G_030E,B01001G_030E,B01001G_030E,B01001G_030E,B01001G_030E,B01001G_030E,B01001G_030E,B01001G_030E,B01001G_030E,B01001G_030E
B01001G_031E,B01001G_031E,B01001G_031E,B01001G_031E,B01001G_031E,B01001G_031E,B01001G_031E,B01001G_031E,B01001G_031E,B01001G_031E
B01001I_014E,B01001I_014E,B01001I_014E,B01001I_014E,B01001I_014E,B01001I_014E,B01001I_014E,B01001I_014E,B01001I_014E,B01001I_014E
B01001I_015E,B01001I_015E,B01001I_015E,B01001I_015E,B01001I_015E,B01001I_015E,B01001I_015E,B01001I_015E,B01001I_015E,B01001I_015E
B01001I_016E,B01001I_016E,B01001I_016E,B01001I_016E,B01001I_016E,B01001I_016E,B01001I_016E,B01001I_016E,B01001I_016E,B01001I_016E
B01001I_029E,B01001I_029E,B01001I_029E,B01001I_029E,B01001I_029E,B01001I_029E,B01001I_029E,B01001I_029E,B01001I_029E,B01001I_029E
B01001I_030E,B01001I_030E,B01001I_030E,B01001I_030E,B01001I_030E,B01001I_030E,B01001I_030E,B01001I_030E,B01001I_030E,B01001I_030E
