,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B02001_008E,B02001_001E,B01001A_014E,B01001A_015E,B01001A_016E,B01001A_029E,B01001A_030E,B01001A_031E,B01001B_014E,B01001B_015E,B01001B_016E,B01001B_029E,B01001B_030E,B01001B_031E,B01001C_014E,B01001C_015E,B01001C_016E,B01001C_029E,B01001C_030E,B01001C_031E,B01001D_014E,B01001D_015E,B01001D_016E,B01001D_029E,B01001D_030E,B01001D_031E,B01001E_014E,B01001E_015E,B01001E_016E,B01001E_029E,B01001E_030E,B01001E_031E,B01001F_014E,B01001F_015E,B01001F_016E,B01001F_029E,B01001F_030E,B01001F_031E,B01001G_014E,B01001G_015E,B01001G_016E,B01001G_029E,B01001G_030E,B01001G_031E,B01001I_014E,B01001I_015E,B01001I_016E,B01001I_029E,B01001I_030E,B01001I_031E
"Burlington County, New Jersey: Summary level: 050, state:34> county:005",66140.0,6236.0,155.0,304.0,0.0,679.0,1113.0,74627.0,13331,7709,2466,4484,2672,564,2242.0,1483.0,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,723.0,379.0,0.0,461.0,233.0,234.0
"Camden County, New Jersey: Summary level: 050, state:34> county:007",31838.0,56989.0,139.0,887.0,0.0,1048.0,575.0,91476.0,12883,6835,2966,2150,1429,380,2437.0,778.0,624.0,2460.0,1414.0,472.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0,1220.0,499.0,0.0,1333.0,599.0,241.0
"Cumberland County, New Jersey: Summary level: 050, state:34> county:011",105468.0,8200.0,538.0,2339.0,0.0,1481.0,1644.0,119670.0,3833,2048,810,4875,2960,1091,545.0,207.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,213.0,35.0,41.0,502.0,553.0,171.0
"Essex County, New Jersey: Summary level: 050, state:34> county:013",182639.0,182474.0,543.0,9314.0,158.0,8263.0,10439.0,393830.0,12382,7225,2709,7451,4575,2512,7605.0,3800.0,609.0,5254.0,2755.0,637.0,,,,,,,279.0,0.0,0.0,259.0,78.0,171.0,,,,,,,,,,,,,74.0,46.0,0.0,103.0,75.0,29.0,3058.0,1117.0,329.0,3825.0,1536.0,795.0
"Gloucester County, New Jersey: Summary level: 050, state:34> county:015",207181.0,58827.0,506.0,6229.0,248.0,9639.0,6115.0,288745.0,8939,4414,1297,10745,6444,2424,870.0,309.0,143.0,2118.0,859.0,557.0,,,,,,,91.0,65.0,0.0,35.0,130.0,0.0,,,,,,,0.0,0.0,0.0,180.0,0.0,0.0,,,,,,,211.0,0.0,0.0,215.0,52.0,89.0
"Hudson County, New Jersey: Summary level: 050, state:34> county:017",51022.0,48602.0,90.0,1479.0,0.0,3134.0,3725.0,108052.0,11142,6405,2186,2504,1340,837,1810.0,902.0,236.0,1942.0,973.0,593.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.0,6458.0,3455.0,855.0,8839.0,5042.0,1939.0
"Hunterdon County, New Jersey: Summary level: 050, state:34> county:019",177793.0,42894.0,1624.0,2881.0,42.0,2147.0,7254.0,234635.0,4888,1984,960,7977,3851,1937,,,,1276.0,551.0,389.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,0.0,140.0,47.0,121.0,79.0
"Mercer County, New Jersey: Summary level: 050, state:34> county:021",151884.0,7481.0,5105.0,3292.0,0.0,4175.0,3100.0,175037.0,8857,4670,1883,5417,3493,2406,1673.0,1045.0,72.0,,,,0.0,0.0,0.0,52.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,772.0,100.0,148.0,664.0,502.0,158.0
"Middlesex County, New Jersey: Summary level: 050, state:34> county:023",87602.0,1135.0,7838.0,1286.0,290.0,652.0,5544.0,104347.0,19275,10328,5304,3744,2262,1728,2138.0,403.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2410.0,861.0,445.0,3000.0,1644.0,413.0
"Monmouth County, New Jersey: Summary level: 050, state:34> county:025",69527.0,2362.0,300.0,993.0,0.0,0.0,2234.0,75416.0,20912,10634,3668,3605,1827,1989,1303.0,750.0,153.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,828.0,351.0,155.0,1102.0,513.0,279.0
