,S1501_C01_025E,S1501_C01_026E,S1501_C01_027E,S1903_C02_014E,S1903_C02_001E,S2301_C03_010E,S2301_C02_011E,S0101_C01_015E,S0101_C01_016E,S0101_C01_017E,S0101_C01_018E,S0101_C01_019E,S1701_C01_001E,S1701_C02_001E,S1701_C01_010E,S1701_C02_010E,S0101_C01_031E,S0101_C02_028E,S0101_C03_028E,S1810_C03_026E,S1810_C03_036E,S1810_C03_044E,S1810_C03_052E,S1810_C03_060E,S1810_C03_067E,S2101_C03_012E,S2101_C03_013E,S2201_C03_001E,S2201_C01_001E,S2701_C01_011E,S2701_C04_011E
"Baldwin County, Alabama: Summary level: 050, state:01> county:003",40621,36902,12202,47562,56732,22.2,5.9,6.7,4.8,3.5,2.6,1.9,205767,23375,40016,3160,93.7,18.6,20.3,13.7,4.8,8.2,19.4,4.5,10.8,5300,5446,6341,76779,40016,574
"Calhoun County, Alabama: Summary level: 050, state:01> county:015",18962,15309,2827,31668,41687,17.4,6.9,5.8,4.0,3.2,1.6,1.9,111622,18193,18439,1143,93.9,14.4,18.5,21.4,10.9,16.0,36.0,13.2,21.7,2062,1966,6318,43972,18439,0
"Cullman County, Alabama: Summary level: 050, state:01> county:043",15084,11732,2816,32279,39411,16.4,8.3,6.2,4.9,3.0,2.6,1.5,81136,11524,14680,1088,97.4,16.4,20.2,19.0,8.2,13.3,27.3,9.5,15.1,1420,1376,3559,30299,14680,0
"DeKalb County, Alabama: Summary level: 050, state:01> county:049",11864,7903,1446,30721,35963,10.8,6.0,6.6,3.9,3.6,1.5,1.2,69913,15029,11478,1083,94.8,14.4,19.0,14.2,6.0,7.7,23.3,6.6,13.0,1295,833,5479,25383,11478,535
"Elmore County, Alabama: Summary level: 050, state:01> county:051",11990,10264,2803,48016,52579,18.4,5.3,4.4,4.7,2.7,0.9,2.0,77016,11283,11467,573,95.5,13.4,15.9,28.9,11.2,17.8,33.3,11.6,22.5,1183,1259,4548,29350,11467,0
"Etowah County, Alabama: Summary level: 050, state:01> county:055",18685,14739,2542,38083,41152,17.6,4.6,6.9,4.0,3.3,2.1,1.9,101432,16955,18030,1400,94.6,16.0,20.3,16.3,5.0,10.8,26.1,11.5,14.2,2612,1844,5449,38766,18030,0
"Houston County, Alabama: Summary level: 050, state:01> county:069",17503,13855,3212,35901,42321,23.0,8.6,5.6,4.2,2.8,2.4,1.8,102975,20571,17330,1833,92.6,14.9,18.6,18.2,7.1,11.5,27.8,7.1,15.7,2313,1722,6270,39167,17330,204
"Jefferson County, Alabama: Summary level: 050, state:01> county:073",99881,85698,27012,36114,50180,23.2,9.3,5.4,3.3,2.5,2.0,2.0,646109,97105,97011,9739,89.2,13.0,17.0,15.5,9.8,13.5,29.1,12.6,20.1,9151,8434,40917,261904,97011,442
"Lauderdale County, Alabama: Summary level: 050, state:01> county:077",17155,13683,3053,39680,43427,20.9,6.0,5.2,5.4,2.9,2.6,2.5,90030,12965,16582,2161,95.6,16.8,20.3,15.2,4.9,7.4,22.8,10.1,15.2,1958,1631,4562,37875,16582,234
"Lee County, Alabama: Summary level: 050, state:01> county:081",17576,13821,5540,44409,48056,20.3,5.2,4.6,2.4,2.2,0.9,1.0,152844,29192,17288,1196,99.4,9.9,12.2,18.3,10.3,8.6,28.0,12.5,15.5,1825,1734,5982,59354,17288,0
