,S1501_C01_025E,S1501_C01_026E,S1501_C01_027E,S1903_C02_014E,S1903_C02_001E,S2301_C03_010E,S2301_C02_011E,S0101_C01_015E,S0101_C01_016E,S0101_C01_017E,S0101_C01_018E,S0101_C01_019E,S1701_C01_001E,S1701_C02_001E,S1701_C01_010E,S1701_C02_010E,S0101_C01_031E,S0101_C02_028E,S0101_C03_028E,S1810_C03_026E,S1810_C03_036E,S1810_C03_044E,S1810_C03_052E,S1810_C03_060E,S1810_C03_067E,S2101_C03_012E,S2101_C03_013E,S2201_C03_001E,S2201_C01_001E,S2701_C01_011E,S2701_C04_011E
"Alabama: Summary level: 040, state:01",783952,629324,166856,36580,46257,20.3,6.8,5.5,4.0,2.8,2.0,1.8,4741329,810231,762974,76323,94.0,14.4,17.8,15.9,8.3,11.4,27.7,9.7,17.6,85186,69628,270409,1852518,762974,3386
"Alaska: Summary level: 040, state:02",75832,67690,23724,59705,76440,32.8,8.3,4.3,2.8,1.5,0.8,0.9,723968,71566,74396,3123,111.2,9.7,10.8,19.5,9.7,10.4,23.1,8.1,14.3,11935,6488,26039,248468,74396,647
"Arizona: Summary level: 040, state:04",1169826,1021940,339519,43647,53558,20.5,5.4,5.6,4.2,3.1,2.1,1.8,6771098,1107464,1159440,104059,98.8,15.7,18.1,15.9,6.9,7.8,21.0,6.9,12.1,138312,123605,312639,2519052,1159440,7701
"Arkansas: Summary level: 040, state:05",485630,392188,93311,34774,44334,20.9,6.5,5.5,4.0,2.9,2.0,1.9,2898630,499225,471601,49574,96.7,14.7,17.8,17.4,8.7,10.8,26.0,9.2,16.5,57331,41786,142959,1142718,471601,2166
"California: Summary level: 040, state:06",5348439,4254344,1632252,49531,67739,25.2,6.1,4.6,3.2,2.3,1.6,1.8,38513258,5525524,5251974,541403,98.6,12.2,15.1,14.1,6.6,10.3,23.3,10.1,17.3,420216,409970,1238154,12944178,5252189,54853
"Colorado: Summary level: 040, state:08",743056,676618,276800,48285,65685,28.6,6.6,5.1,3.2,2.2,1.4,1.4,5420327,598736,727891,55360,101.5,12.2,14.7,15.2,5.7,6.9,18.0,5.0,10.8,95397,66853,171546,2108992,727891,5260
"Connecticut: Summary level: 040, state:09",576640,488979,181138,51847,73433,31.5,7.6,5.3,3.7,2.6,2.0,2.5,3469514,339128,556261,36088,95.3,14.3,17.9,12.9,4.9,8.1,20.0,8.0,14.5,49114,50790,177523,1357269,556261,2593
"Delaware: Summary level: 040, state:10",166674,145987,46629,47195,61757,25.4,5.8,6.3,4.3,3.2,1.9,1.9,926864,108211,162635,11201,93.6,16.1,18.9,10.4,4.6,8.2,20.4,7.8,13.2,19924,15380,39277,351085,162635,1614
"District of Columbia: Summary level: 040, state:11",79097,67156,33108,48536,75506,33.5,9.7,4.0,2.8,1.9,1.4,1.5,647654,120308,76794,10304,90.5,10.0,13.0,9.7,7.6,9.7,24.6,8.5,18.5,5812,5865,40789,281241,76794,593
"Florida: Summary level: 040, state:12",4090764,3455128,1127748,40772,50860,20.8,5.5,6.2,4.9,3.6,2.5,2.6,20191342,2973512,4020746,418376,95.5,18.3,21.4,13.5,6.4,8.5,20.9,7.2,13.0,387606,389475,1077995,7573456,4020746,53073
"Georgia: Summary level: 040, state:13",1359134,1105944,338100,40386,53559,22.3,6.8,4.9,3.4,2.2,1.4,1.3,10040201,1603013,1330303,133741,94.8,11.7,14.5,14.2,7.6,9.6,24.3,8.1,14.9,153617,104342,516772,3686135,1330303,12790
"Hawaii: Summary level: 040, state:15",243541,207865,71959,63229,74511,33.2,7.0,5.9,3.8,2.7,2.0,2.7,1389442,129569,238734,21349,101.1,15.3,18.8,14.5,5.1,11.0,22.3,8.9,16.3,23459,21536,54008,455868,238734,826
"Idaho: Summary level: 040, state:16",256162,228039,66553,39338,51807,20.5,6.3,5.4,3.8,2.5,1.8,1.7,1652592,237445,252434,25303,99.9,14.4,16.1,18.7,6.6,8.3,20.7,6.4,11.7,33449,24430,66302,610872,252434,1927
"Illinois: Summary level: 040, state:17",1872830,1571155,475217,41253,60960,24.5,6.5,4.9,3.5,2.4,1.8,2.0,12502057,1621508,1807910,166144,96.6,12.9,16.3,13.2,6.3,8.3,22.1,8.2,14.8,169373,150003,642115,4822046,1807910,15468
"Indiana: Summary level: 040, state:18",993339,838005,196685,39568,52314,23.9,6.3,5.2,3.5,2.6,1.8,1.9,6432804,906077,957278,73596,97.1,13.3,16.6,16.0,6.6,9.1,23.5,7.7,14.2,105860,89572,272445,2533270,957278,6193
"Iowa: Summary level: 040, state:19",513742,459043,111406,39433,56247,29.4,8.1,5.3,3.7,2.8,2.1,2.5,3031338,356378,491235,33813,98.6,14.6,18.1,14.4,5.0,6.7,19.0,5.8,11.5,54397,47817,136100,1247932,491235,820
"Kansas: Summary level: 040, state:20",437671,392851,118303,41015,54935,30.1,8.3,5.1,3.4,2.6,1.8,2.2,2825864,342544,419367,33523,99.3,13.5,16.6,15.9,6.5,7.5,21.3,6.9,12.4,46691,41274,88187,1110407,419367,2292
"Kentucky: Summary level: 040, state:21",687525,536093,128296,35215,46659,21.0,5.9,5.5,3.8,2.7,1.9,1.7,4298953,794060,665367,74154,96.6,13.9,17.0,18.9,8.4,10.9,27.9,9.5,17.0,79829,54881,255718,1717706,665367,2106
