,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B02001_008E,B02001_001E,B01001A_014E,B01001A_015E,B01001A_016E,B01001A_029E,B01001A_030E,B01001A_031E,B01001B_014E,B01001B_015E,B01001B_016E,B01001B_029E,B01001B_030E,B01001B_031E,B01001C_014E,B01001C_015E,B01001C_016E,B01001C_029E,B01001C_030E,B01001C_031E,B01001D_014E,B01001D_015E,B01001D_016E,B01001D_029E,B01001D_030E,B01001D_031E,B01001E_014E,B01001E_015E,B01001E_016E,B01001E_029E,B01001E_030E,B01001E_031E,B01001F_014E,B01001F_015E,B01001F_016E,B01001F_029E,B01001F_030E,B01001F_031E,B01001G_014E,B01001G_015E,B01001G_016E,B01001G_029E,B01001G_030E,B01001G_031E,B01001I_014E,B01001I_015E,B01001I_016E,B01001I_029E,B01001I_030E,B01001I_031E
"Alabama: Summary level: 040, state:01",3312718,1307467,25181,66908,1581,67308,93584,4874747,173264,83005,22850,194603,112587,43640,43827.0,14434.0,4760.0,56452.0,25867.0,10505.0,964.0,335.0,162.0,1289.0,300.0,65.0,1418.0,513.0,15.0,2636.0,809.0,134.0,,,,,,,959.0,133.0,151.0,1434.0,153.0,160.0,1737,140,67,2327,1157,159,3177,518,280,2446,1398,359
"Alaska: Summary level: 040, state:02",474856,22107,109948,49385,8830,11279,63390,739795,22870,7243,1952,19927,7599,2807,1043.0,196.0,0.0,281.0,189.0,0.0,2647.0,1096.0,363.0,3661.0,1842.0,244.0,1435.0,430.0,182.0,2070.0,794.0,395.0,165.0,0.0,0.0,99.0,0.0,0.0,,,,,,,899,533,6,702,210,19,1004,90,0,1097,257,171
"Arizona: Summary level: 040, state:04",5442417,307655,317974,232517,16453,432853,266401,7016270,294461,159303,46611,329860,177212,71608,8629.0,3665.0,573.0,9000.0,4113.0,1768.0,7523.0,3311.0,1037.0,10470.0,4495.0,1852.0,5811.0,2891.0,1279.0,10353.0,3737.0,1655.0,301.0,0.0,118.0,369.0,137.0,353.0,7427.0,2737.0,1005.0,7967.0,2642.0,1531.0,4775,1656,443,4219,2848,1105,43521,17541,5413,50564,22642,9419
"Arkansas: Summary level: 040, state:05",2293307,458367,19110,47885,8551,91890,85169,3004279,116657,61176,15969,132093,76225,31446,15368.0,4197.0,1514.0,16702.0,7507.0,3839.0,614.0,205.0,132.0,796.0,359.0,0.0,1134.0,72.0,38.0,1540.0,501.0,34.0,0.0,0.0,135.0,98.0,0.0,0.0,1454.0,174.0,56.0,853.0,331.0,0.0,1971,356,102,2315,632,429,3319,516,201,3366,919,125
"California: Summary level: 040, state:06",23181769,2271917,313859,5765305,153923,5911803,1938077,39536653,1038950,489168,195233,1156368,613069,334626,75586.0,34963.0,9668.0,94665.0,51043.0,20571.0,10522.0,4289.0,1769.0,14048.0,5303.0,2652.0,220077.0,111672.0,38109.0,279361.0,147673.0,70043.0,4675.0,1634.0,415.0,5425.0,1693.0,651.0,106816.0,39677.0,12654.0,126088.0,56538.0,24589.0,30862,12532,4156,35112,16418,5454,303630,126025,46568,364709,177370,82609
"Colorado: Summary level: 040, state:08",4720495,229436,56792,179251,8400,219189,193591,5607154,209447,85201,28072,226727,105621,49618,6158.0,2143.0,1057.0,6597.0,3835.0,627.0,2074.0,668.0,291.0,2502.0,542.0,272.0,4645.0,1590.0,765.0,6801.0,3088.0,1268.0,231.0,0.0,41.0,62.0,125.0,13.0,3864.0,1887.0,671.0,5153.0,1364.0,654.0,3146,1026,231,3937,1101,584,23333,9289,3112,27552,12934,4243
"Connecticut: Summary level: 040, state:09",2723013,380578,11268,163924,525,191373,117503,3588184,137968,62505,31183,156577,88088,54584,10453.0,5038.0,842.0,13819.0,7526.0,3136.0,345.0,0.0,0.0,501.0,378.0,52.0,4425.0,1458.0,201.0,5327.0,1739.0,682.0,,,,,,,3622.0,953.0,325.0,3225.0,1198.0,580.0,1360,211,296,1456,585,456,10375,3283,1699,12687,5871,2013
"Delaware: Summary level: 040, state:10",662084,210356,2729,38930,244,18372,29224,961939,39591,18501,6061,44748,22812,9966,6730.0,3207.0,473.0,9099.0,3706.0,1848.0,,,,,,,759.0,682.0,82.0,1585.0,438.0,279.0,,,,,,,471.0,0.0,0.0,477.0,85.0,170.0,281,103,0,398,386,0,1665,131,230,1535,561,215
"District of Columbia: Summary level: 040, state:11",284536,318220,1690,28499,302,40116,20609,693972,8703,4397,1293,9395,5031,1664,10819.0,4773.0,2214.0,15980.0,8962.0,5168.0,,,,,,,561.0,175.0,38.0,664.0,546.0,97.0,,,,,,,613.0,93.0,15.0,962.0,0.0,225.0,163,274,0,279,304,132,1144,454,128,1639,321,750
"Florida: Summary level: 040, state:12",15768315,3394508,63635,588087,13937,602032,553886,20984400,938240,535392,196785,1066782,635954,299376,98835.0,43478.0,11294.0,130290.0,59529.0,23987.0,2861.0,1352.0,283.0,2570.0,1298.0,549.0,21140.0,8905.0,2735.0,30875.0,13313.0,3326.0,388.0,184.0,0.0,432.0,0.0,26.0,12107.0,7066.0,1680.0,15941.0,7189.0,2363.0,9592,4268,1557,14816,6923,1551,153633,84606,26378,198334,120819,55848
"Georgia: Summary level: 040, state:13",6122956,3292061,36855,410915,8594,271833,286165,10429379,289487,128126,37364,325887,168084,67900,88899.0,30580.0,7027.0,125431.0,52005.0,20330.0,1364.0,275.0,0.0,1040.0,316.0,48.0,9655.0,4288.0,1336.0,13948.0,6552.0,721.0,,,,,,,2302.0,1041.0,0.0,3605.0,1035.0,507.0,3319,1474,99,5443,1893,374,10779,4167,1224,12892,5465,1626
"Hawaii: Summary level: 040, state:15",357113,23386,2661,545639,145271,21476,331992,1427538,24887,9300,2274,21232,9356,3541,418.0,101.0,38.0,420.0,108.0,352.0,,,,,,,32291.0,17104.0,9384.0,37413.0,24872.0,17402.0,5351.0,2295.0,642.0,5134.0,1980.0,1380.0,196.0,83.0,0.0,156.0,61.0,17.0,6483,2730,446,10740,4270,1007,2182,988,260,2849,893,512
