,state,fips,year,population_all,population_65,income_median_house_65,income_median_house_all,per_poverty_all,per_poverty_65,per_male_all,per_hear_diffi_65,per_vision_diffi_65,per_cog_diffi_65,per_ambu_diffi_65,per_selfCare_diffi_65,per_indeLive_diffi_65,per_oneRace_white_all,per_oneRace_baa_all,per_oneRace_aian_all,per_oneRace_asian_all,per_oneRace_nhopi_all,per_oneRace_other_all,per_twoRace_over_all,per_male_65,per_high_65,per_bachelor_65,per_employment_65,per_veteran_65,per_stamp_house_all,per_insured_65
0,Alabama,1,2013,4833722,721538,33469,42849,0.18730944285591605,0.10595652006705876,0.4845360824742268,0.16399999999999998,0.079,0.107,0.274,0.101,0.177,0.6890090079652905,0.2656549135428144,0.004646316027276703,0.012128128179485704,0.0003146643518183297,0.011333709303100178,0.01691326063021415,0.3519676025379121,0.774,0.196,0.1402408970116612,0.21229071297423008,0.1553121942627435,0.9945461356472494
1,Alaska,2,2013,735132,65584,53822,72237,0.09329040215268412,0.051883505968693386,0.5256166982922199,0.223,0.08800000000000001,0.107,0.236,0.09,0.13,0.6635026090552445,0.03411224106691043,0.14325318446211022,0.056826529113138874,0.011962477487036341,0.012933731629149596,0.07740922718641008,0.394821907782386,0.833,0.294,0.24467036618687485,0.1572624719443767,0.09795337682661626,0.9891773886385805
2,Arizona,4,2013,6626624,1018724,39097,48510,0.18626284140764107,0.08894331763044275,0.4977398292315419,0.15,0.066,0.08,0.214,0.068,0.135,0.7897635357008335,0.04194790590200983,0.04350541090002994,0.02893147400546644,0.0019027788508899856,0.061985710974396625,0.031963183666373705,0.4192666512225097,0.858,0.267,0.133342461133732,0.2506375125588481,0.13473999805898762,0.9910560069764138
3,Arkansas,5,2013,2959373,453542,31959,40511,0.1967984993074262,0.10519442269098082,0.4939271255060729,0.179,0.079,0.109,0.289,0.097,0.168,0.7791265244360883,0.15676563920803493,0.005982348287965052,0.013249428172792007,0.0002122071127904458,0.022624049080666748,0.022039803701662482,0.3954914870067161,0.7709999999999999,0.168,0.14947527832923968,0.22627482547151095,0.15341074110555208,0.9961939683416707
4,California,6,2013,38332521,4794108,43595,60190,0.1683507216791511,0.10393542371004964,0.4974874371859296,0.15,0.071,0.105,0.241,0.104,0.18,0.6193440551431512,0.0591931065530493,0.00726216259034985,0.13592208036617262,0.003724826760024471,0.12942994278930936,0.04512382579794321,0.32482372111767194,0.7859999999999999,0.28800000000000003,0.16231386032605025,0.24938765042214317,0.09424491755010359,0.9822391783831657
5,Colorado,8,2013,5268367,644943,43281,58823,0.1295644090094053,0.0736623427816658,0.5022399203583873,0.16899999999999998,0.063,0.076,0.203,0.069,0.131,0.8381823058264544,0.039776082417948486,0.00827827674116097,0.02863354052593527,0.0015782879210958535,0.04767093864189795,0.03588056792550709,0.4178756882391157,0.887,0.341,0.1843928041563363,0.2099119252383544,0.08596914319952068,0.9934641042310071
6,Connecticut,9,2013,3596080,544506,44240,67098,0.10727751249299568,0.07401981838262363,0.4871794871794872,0.134,0.055,0.073,0.196,0.076,0.14,0.7726972147449445,0.1031673377677916,0.002229650063402372,0.0410363506929768,0.00015155391426219662,0.051539732152788585,0.02917816066383395,0.3848497537217221,0.826,0.28300000000000003,0.19923846833643707,0.2816931314622796,0.12342110369740122,0.9910920228930793
7,Delaware,10,2013,925749,146945,43452,57846,0.12365242657626938,0.07224611081978675,0.4837377387712959,0.126,0.055,0.084,0.209,0.068,0.133,0.6887460856020369,0.21631025256305972,0.004272216335097311,0.0363370632860527,0.0009084535873114637,0.02487607332009,0.028549855306351936,0.37158800911905815,0.8390000000000001,0.233,0.16459929989451835,0.2437647150770697,0.13762014445352153,0.989722076560042
8,District of Columbia,11,2013,646449,73961,47632,67572,0.18887425055738266,0.17479304693737482,0.4736842105263158,0.078,0.06,0.102,0.234,0.08,0.15,0.40850863718560937,0.488057062506091,0.0019676726238264733,0.03552175036236424,0.00016087889377197582,0.033538608614136614,0.032245389814200345,0.16103081353686402,0.805,0.392,0.20389613812685065,0.2063609319776639,0.15686303381912822,0.9963021584749205
9,Florida,12,2013,19552860,3644283,37031,46036,0.17006489823548934,0.10672152922104508,0.4892747701736465,0.13699999999999998,0.064,0.08900000000000001,0.217,0.07400000000000001,0.136,0.7619234219444112,0.16066969231099695,0.002576554018184552,0.026062069692106424,0.0004214728689306833,0.02485595457646605,0.023490834588904132,0.400644241953767,0.8270000000000001,0.253,0.13669306533548573,0.26130872398768157,0.15110938179462377,0.9834727672754029
10,Georgia,13,2013,9992167,1190773,37008,47829,0.18967023059765775,0.10742324329255593,0.4882292732855681,0.14800000000000002,0.079,0.104,0.253,0.092,0.16399999999999998,0.6039890045872932,0.3098402979053493,0.002170900466335281,0.03561789950067888,0.00036418526631910777,0.026916883995233468,0.021100828278790774,0.33310463035356025,0.782,0.23,0.15461861256679482,0.202424009060501,0.16219979616376254,0.9865524073127363
11,Hawaii,15,2013,1404054,220108,55650,68020,0.1084829438852582,0.07164307760754109,0.506416584402764,0.152,0.058,0.127,0.22,0.078,0.17,0.2556717904012239,0.021584639907012124,0.0016181713808728153,0.378345847097049,0.09775692387899612,0.00997682425319824,0.23504580308164785,0.1346066476457012,0.826,0.26,0.1814933778327003,0.21537188653751796,0.11337643295121301,0.9899943460408382
12,Idaho,16,2013,1612136,223104,36226,46783,0.15575733569354186,0.08217310209274857,0.5029821073558649,0.195,0.081,0.09,0.23,0.077,0.145,0.9153266225678229,0.005642824178605279,0.012281842226710402,0.015411230814273731,0.0011276964226343187,0.026175831319442032,0.02403395247051117,0.4507225329890993,0.863,0.237,0.13542133164802062,0.24049371751290877,0.12972714868077398,0.9909112052571815
13,Illinois,17,2013,12882135,1740088,38304,56210,0.14673133132114358,0.08849712241591756,0.4910941475826972,0.13699999999999998,0.064,0.08199999999999999,0.229,0.08,0.154,0.7267751812878843,0.14233354952420546,0.00198530755965529,0.04932295772401081,0.0002841143956339535,0.05683661908526809,0.02246227042334209,0.3569032140903219,0.818,0.226,0.16555667587213982,0.2549719390829659,0.13498414628359076,0.9868946854945297
14,Indiana,18,2013,6570902,915833,35339,47529,0.15941340067117993,0.0787834087954964,0.491353001017294,0.166,0.07,0.09,0.245,0.08199999999999999,0.149,0.8415275406633671,0.0918475119549797,0.002152824680690718,0.017783859811027466,0.00041135904933599685,0.02453696615776647,0.021739937682832583,0.4007575616951999,0.815,0.17600000000000002,0.16057161814435603,0.23159478382849277,0.13070231088358727,0.9954847903335587
15,Iowa,19,2013,3090416,479625,36690,52229,0.12672754682167486,0.07849409448818898,0.4946942900454776,0.152,0.056,0.063,0.192,0.061,0.111,0.9137630662020906,0.033144405154516415,0.0024689232776428805,0.020525068469746468,0.0005306728932286137,0.012471136571904884,0.017096727430870148,0.4270461297888976,0.871,0.18600000000000003,0.16868822701068545,0.2564795598227782,0.1214082731965226,0.9967242864173228
16,Kansas,20,2013,2893957,406225,37574,50972,0.13989932148341835,0.07933304080737165,0.4977398292315419,0.163,0.062,0.085,0.229,0.077,0.136,0.8555863131345767,0.0581370075643833,0.008375383601069401,0.025300652359381986,0.0004892954525585557,0.019088051411959468,0.033023296476070656,0.4065062465382485,0.87,0.243,0.19142967209551356,0.22891629092498,0.10199878067285668,0.9963993495599205
17,Kentucky,21,2013,4395295,636058,32964,43399,0.18765369539272425,0.11223872023707533,0.4921279837480955,0.177,0.081,0.105,0.273,0.094,0.181,0.8769773132406358,0.07966791762555188,0.0016913540501832074,0.01210089425169414,0.00048460911042376,0.009118159304438041,0.01995975241707325,0.4084375953136349,0.731,0.16699999999999998,0.1445339736627792,0.22596390030468919,0.17413871646899695,0.9960607113891785
18,Louisiana,22,2013,4625470,606958,31230,44164,0.1975575468594028,0.12709940834855632,0.4877049180327869,0.157,0.084,0.118,0.281,0.104,0.182,0.6285406672186826,0.3227596330751253,0.0059263166770079576,0.016047450313157366,0.00014549872769686108,0.009734362129686279,0.016846071858643553,0.331925767516039,0.757,0.188,0.1710399215102198,0.21741213334365803,0.17197822641450478,0.9903515827357745
19,Maine,23,2013,1328302,235984,34376,46974,0.1396160383111498,0.09052377685629018,0.4892747701736465,0.172,0.052000000000000005,0.081,0.199,0.061,0.121,0.9489332998068212,0.010251433785389166,0.006204914243899354,0.01058418943884749,0.00020251418728572268,0.0028690764600218925,0.02095457207773533,0.4400679707098786,0.8540000000000001,0.264,0.1707040085514272,0.24517276685707504,0.17950979210715629,0.998282770463652
20,Maryland,24,2013,5928814,793868,49494,72483,0.10116705501697518,0.0802476844624831,0.4850669412976314,0.124,0.061,0.081,0.214,0.075,0.14300000000000002,0.5762257004520634,0.2960059128183141,0.0029061461533453404,0.05978092751771265,0.0005149427861963624,0.035983925284213666,0.028582444988154463,0.3096875047237072,0.83,0.302,0.20946980489451647,0.2130545705230593,0.11086053439917101,0.9859558747008014
21,Massachusetts,25,2013,6692824,990097,40020,66768,0.11933856111564572,0.08777003213379765,0.4850669412976314,0.147,0.065,0.084,0.208,0.081,0.152,0.7964322683518945,0.07088592199645471,0.0020855172644611607,0.0580199031081648,0.00023263722458561587,0.04266793807815655,0.029675813976282658,0.3855198026051993,0.8240000000000001,0.292,0.20007555295289248,0.28082771713882576,0.12945561701377703,0.9963032472158765
22,Michigan,26,2013,9895622,1486783,36939,48273,0.17047766521437016,0.0828908458803595,0.4908350305498982,0.156,0.06,0.09,0.23,0.083,0.152,0.7911636075023885,0.13927745016937793,0.00542866330181165,0.026921602300492075,0.00022909120821308656,0.010114270735078605,0.026865314782638226,0.38668992045241296,0.8370000000000001,0.215,0.12387639397544901,0.2551805794658669,0.16857005385044513,0.9947695876249493
