,county,state,fips,year,population_all,population_65,income_median_house_65,income_median_house_all,per_poverty_all,per_poverty_65,per_male_all,per_hear_diffi_65,per_vision_diffi_65,per_cog_diffi_65,per_ambu_diffi_65,per_selfCare_diffi_65,per_indeLive_diffi_65,per_oneRace_white_all,per_oneRace_baa_all,per_oneRace_aian_all,per_oneRace_asian_all,per_oneRace_nhopi_all,per_oneRace_other_all,per_twoRace_over_all,per_male_65,per_high_65,per_bachelor_65,per_employment_65,per_veteran_65,per_stamp_house_all,per_insured_65
0,Berkshire , Massachusetts,25003,2017,126150.0,28605,46297,57054,0.09011758819114336,0.04215575825853109,0.483204134366925,0.179,0.046,0.086,0.159,0.07,0.129,0.9303051922314703,0.01327784383670234,0.010075307173999208,0.02297265160523187,0.0,0.01207292905271502,0.011296076099881092,0.4332109771019053,0.8934452018877819,0.3689564761405349,0.2526117461982171,0.18045796189477364,0.16000221430812098,0.9956027183195842
1,Bristol , Massachusetts,25005,2017,1935878.0,93816,40017,67842,0.11069125167841866,0.07656480997743517,0.4826694257630626,0.155,0.053,0.083,0.213,0.091,0.151,0.6081416287596636,0.2883456498808293,0.0025900392483410627,0.03563137759714197,0.00044011037885651887,0.030957012786962813,0.033894181348204794,0.4005819902788437,0.7224780421250107,0.21324720729939456,0.16797429009976972,0.1707278076234331,0.14273688063320675,0.9969431877549659
2,Essex , Massachusetts,25009,2017,182033.0,130835,45127,75480,0.1024689510698788,0.10061601642710473,0.483204134366925,0.13699999999999998,0.041,0.083,0.195,0.092,0.14,0.9044898452478396,0.05647327682343312,0.0025380013514033173,0.014129306224695522,0.0,0.0060428603604840885,0.01632670999214428,0.3976382466465395,0.8513624030267131,0.33407727290098216,0.21619173004165554,0.1398249703825429,0.13641989581491507,0.9967698625809509
3,Franklin , Massachusetts,25011,2017,871375.0,15027,45474,58824,0.09844277000358807,0.05746890802241356,0.4882292732855681,0.123,0.039,0.064,0.158,0.066,0.121,0.8065230239563907,0.11900387318892555,0.003246593028259934,0.04128188208291493,0.0006047912781523455,0.008851527757853967,0.020488308707502508,0.4465295800891728,0.9376455713049844,0.44133892327144475,0.25268955879417054,0.1822719105609902,0.12113957385683505,0.998359983599836
4,Hampden , Massachusetts,25013,2017,145647.0,77797,37716,51726,0.1733035739784318,0.1366128946387691,0.4848016486347244,0.147,0.077,0.085,0.261,0.112,0.17,0.9231635392421402,0.025445082974589247,0.003075930159907173,0.019533529698517647,0.0001510501417811558,0.008911958365088193,0.01971890941797634,0.3820584341298507,0.7926912348805224,0.23449490340244483,0.1567657750298855,0.17468539917991696,0.24207303255901355,0.9978304850130437
5,Hampshire , Massachusetts,25015,2017,115344.0,26686,49600,67989,0.09582094269419184,0.039672206479283136,0.4632313472893183,0.119,0.047,0.037000000000000005,0.155,0.048,0.109,0.8752774309890414,0.01830177555832986,0.0028436676376751282,0.056673949230129014,6.9357747260369e-05,0.02235920377306145,0.024474615064502703,0.4262534662369782,0.9099527842314322,0.4162482200404707,0.2500649404181968,0.16251967323690325,0.07293251279214494,0.9954813509994639
6,Middlesex , Massachusetts,25017,2017,212230.0,240112,53736,98555,0.08147417445583621,0.0793119307460531,0.4892747701736465,0.14400000000000002,0.05,0.076,0.18,0.075,0.133,0.7821184563916506,0.09976911840927297,0.002191019177307638,0.03112189605616548,0.0,0.03191820195071385,0.052881308014889515,0.3857741387352569,0.8871110148597321,0.4241062504164723,0.24155823115879252,0.14665239554874393,0.0682619987689721,0.994743199040623
7,Norfolk , Massachusetts,25021,2017,372880.0,116068,60153,100829,0.06787416531338489,0.06154257214107589,0.4818652849740933,0.127,0.045,0.057,0.171,0.059,0.126,0.8934429307015662,0.07003861832224845,0.0018209611671315168,0.015659193306157476,0.0,0.009520489165415149,0.009517807337481228,0.3768825171451218,0.8872557466312851,0.3993434882999621,0.25931081779646414,0.1526777406348003,0.06677733057431536,0.990256501603135
8,Plymouth , Massachusetts,25023,2017,69612.0,90045,55776,86910,0.06980054714340247,0.06822713180974772,0.4874423372629421,0.128,0.048,0.047,0.16,0.054000000000000006,0.096,0.7814169970694708,0.1813336781014768,0.00153709130609665,0.010644716428202037,0.0,0.007326323047750388,0.01774119404700339,0.4047087567327448,0.9065800433116775,0.3292686989838414,0.22704734299516907,0.18780609695152423,0.09969191079271673,1.0
9,Suffolk , Massachusetts,25025,2017,937934.0,93554,32057,66459,0.1797912173694447,0.19661735950773854,0.4845360824742268,0.141,0.099,0.14300000000000002,0.307,0.116,0.2,0.5965025257640729,0.3013218414088838,0.0018220898272159876,0.05100678725795205,0.00010768348305957562,0.019749790496985928,0.029489281761829723,0.2612288090300789,0.7663167796139129,0.27333946170126344,0.19165220086794793,0.0998460782008252,0.17750389298421115,0.9956474188309895
10,Worcester , Massachusetts,25027,2017,313512.0,126050,40725,70402,0.10444349300062844,0.08167748623898502,0.4939271255060729,0.132,0.055,0.087,0.199,0.08,0.142,0.6738179080864528,0.21384827375028706,0.004969506749342928,0.02882186327796065,0.0015438005562785474,0.014446018015259384,0.0625526295644186,0.4140103133677112,0.8599682665608885,0.298579928599762,0.19522908369694567,0.17281237604125346,0.11743638443861759,0.9983462098585639
11,Allegan , Michigan,26005,2017,102746.0,18497,43142,62853,0.09283900104888132,0.08182225207074101,0.5002498750624688,0.147,0.044,0.04,0.154,0.06,0.087,0.881698557608082,0.06617289237537227,0.0007883518579798728,0.009635411597531778,0.0,0.006160823779027894,0.03554396278200611,0.4496404822403633,0.8745742552846407,0.23998486241012057,0.13454971076390768,0.1482943179975131,0.06951704418531922,0.9986568166554735
12,Bay , Michigan,26017,2017,269918.0,20729,36557,44770,0.1505990675763799,0.09320137265628886,0.4972347913524384,0.16899999999999998,0.062,0.122,0.232,0.063,0.161,0.6463222163768255,0.14424010254966324,0.007165139042227641,0.08613727131943777,0.00046310360924428894,0.08182855533902889,0.03384361176357264,0.42621448212648944,0.8362197887018187,0.20131217135414153,0.10022210429832602,0.20140865454194606,0.16970628187142317,0.9992539911473616
13,Berrien , Michigan,26021,2017,110510.0,29701,40020,48629,0.17729529938109514,0.1037816417859461,0.4895354772843288,0.174,0.086,0.083,0.241,0.081,0.174,0.8246222061351914,0.1082707447289838,0.0027780291376346034,0.027725997647271742,0.0,0.02498416432902,0.01161885802189847,0.3983030874381334,0.8961987811858186,0.24652368607117606,0.18728268408471094,0.19349516851284468,0.15682760340367172,0.9910497728282035
14,Calhoun , Michigan,26025,2017,103724.0,22907,40594,45386,0.20712516057992286,0.08999818643453028,0.4939271255060729,0.156,0.07200000000000001,0.124,0.255,0.085,0.162,0.9039662951679456,0.04066561258725078,0.009110716902549072,0.006391963287185222,0.0009640970267247696,0.020207473680151168,0.018693841348193282,0.3936351333653468,0.9040904527000481,0.21556729384031081,0.14783459204609944,0.20194700309948924,0.1835361830046191,0.9963728690605731
15,Clinton , Michigan,26037,2017,,12878,46172,62175,0.07758409982633306,0.05688622754491018,0.4900560938296787,0.128,0.032,0.063,0.181,0.058,0.113,,,,,,,,0.44626494797328775,0.9182326448206243,0.227908060257804,0.14594051871408603,0.1967696847336543,0.07944190393537835,1.0
16,Eaton , Michigan,26045,2017,183545.0,19328,55530,64522,0.08420601498155257,0.045850261172373764,0.4908350305498982,0.17800000000000002,0.062,0.07400000000000001,0.209,0.07200000000000001,0.127,0.8784058405295704,0.0748862676727778,0.004794464572720586,0.013604293225094663,0.00048489471246833204,0.010013893050750495,0.017810346236617727,0.4264279801324503,0.9113721026490066,0.21238617549668873,0.12388876241721852,0.19267384105960264,0.08551963725777707,0.9985754234158181
17,Genesee , Michigan,26049,2017,186553.0,68945,41160,46298,0.18316067776731385,0.1092260938836928,0.4829369183040331,0.141,0.051,0.108,0.273,0.096,0.166,0.8993369176587886,0.050661206198774615,0.006496813238061032,0.013138357464098674,0.0,0.013325971707772052,0.017040733732504972,0.35802451229240706,0.8688809920951484,0.1665240409021684,0.10601595474653709,0.18239176154906084,0.17521225689269185,1.0
18,Grand Traverse , Michigan,26055,2017,83159.0,17627,49841,60601,0.1046046819787986,0.0622093023255814,0.4926433282597666,0.14300000000000002,0.021,0.064,0.182,0.056,0.122,0.8367825490927019,0.03672482834088914,0.014189684820644791,0.05215310429418343,0.0035594463617888623,0.011772628338484107,0.04481775875130774,0.4372837124865264,0.9413967209394679,0.4073863958699722,0.15903766948431383,0.20088500595677086,0.08290806312318443,0.9840697674418605
19,Ingham , Michigan,26065,2017,102883.0,38695,42080,50896,0.20186145527940244,0.09666150087993486,0.4850669412976314,0.151,0.078,0.084,0.235,0.066,0.14300000000000002,0.813244170562678,0.09712974932690532,0.002400785358125249,0.016727739276654063,0.0,0.04550800423782355,0.024989551237813826,0.37281302493862256,0.9023129603307921,0.3698152216048585,0.1677943145109187,0.17849851401989922,0.1392127954250994,0.9951406582438076
20,Isabella , Michigan,26073,2017,969603.0,8830,51524,44100,0.2472451683895665,0.06535269709543569,0.4887525562372188,0.2,0.045,0.099,0.231,0.035,0.091,0.6917738497096234,0.0973119926402868,0.0044141777614136925,0.14740156538294538,0.0006167472666648103,0.024710113314418376,0.033771553924647514,0.4101925254813137,0.8718006795016987,0.2517553793884485,0.15519875424688562,0.2041902604756512,0.10744,0.996081143384048
21,Jackson , Michigan,26075,2017,95158.0,27270,41300,50258,0.13186835443037975,0.046490600158233815,0.5042141794744671,0.119,0.057,0.078,0.192,0.059,0.119,0.6500872233548414,0.00270077134870426,0.02460118960045398,0.01281027343996301,0.0,0.276308875764518,0.03349166649151937,0.433993399339934,0.8994132746607995,0.2386872020535387,0.1702881921525486,0.19424275760909424,0.1104789456766313,0.9955167087367668
22,Kalamazoo , Michigan,26077,2017,1408566.0,38175,44657,56025,0.14015747413681498,0.04906779208291042,0.4908350305498982,0.159,0.056,0.084,0.224,0.07,0.14400000000000002,0.7226029877194253,0.1716916353227325,0.003376483601052418,0.0421748075702523,0.00032018378975497066,0.025270381366581333,0.03456352063020121,0.39502292075965945,0.9222789783889981,0.35468238375900457,0.15928969220694172,0.1751931892599869,0.10805668988710065,0.9962871948287836
