,Unnamed: 0,S1501_C01_025E,S1501_C01_026E,S1501_C01_027E,S1903_C02_015E,S1903_C02_001E,S2301_C03_007E,S2301_C03_008E,S0101_C01_015E,S0101_C01_016E,S0101_C01_017E,S0101_C01_018E,S0101_C01_019E,S1701_C01_001E,S1701_C02_001E,S1701_C01_005E,S1701_C02_005E,S0101_C01_031E,S0101_C02_028E,S0101_C03_028E,S1810_C03_019E,S1810_C03_020E,S1810_C03_021E,S1810_C03_022E,S1810_C03_023E,S1810_C03_024E,S2101_C02_012E,S2101_C02_013E,S2201_C02_001E,S2201_C01_001E,S2701_C01_004E,S2701_C02_004E,county,state,fips
0,"Stark County, Ohio: Summary level: 050, state:39> county:151",60649,80.2,13.8,33270,42664,23.5,5.2,4.9,3.4,3.0,2.7,2.2,366099,52422,57998,3897,94.8,14.0,18.2,13.3,4.6,7.8,19.9,6.4,12.2,19.7,24.4,19697,149122,57998,158,Stark , Ohio,39151
1,"Summit County, Ohio: Summary level: 050, state:39> county:153",79490,78.7,19.4,31242,45593,21.3,2.7,4.0,3.3,2.8,2.5,2.1,532666,81629,77009,6817,93.7,12.7,16.6,13.7,6.7,8.3,24.7,9.2,16.8,17.7,26.8,29482,219997,77009,376,Summit , Ohio,39153
2,"Trumbull County, Ohio: Summary level: 050, state:39> county:155",36389,76.8,11.4,31497,40153,10.4,3.2,5.3,3.7,3.1,3.0,2.2,206407,38066,35338,3226,93.5,15.4,19.2,14.4,6.7,10.8,21.3,8.1,17.5,21.6,28.3,11589,84492,35338,48,Trumbull , Ohio,39155
3,"Tuscarawas County, Ohio: Summary level: 050, state:39> county:157",15106,77.2,8.7,25423,38882,21.3,0.9,4.8,3.6,2.4,3.3,2.2,90835,13506,14139,968,95.7,14.3,18.3,13.1,5.1,6.7,18.5,4.8,12.3,27.3,27.8,4973,34310,14139,290,Tuscarawas , Ohio,39157
4,"Warren County, Ohio: Summary level: 050, state:39> county:165",22877,75.8,23.4,38968,66499,22.3,9.9,3.3,2.9,2.1,1.6,0.9,205797,10525,21759,987,101.7,9.3,12.2,13.8,7.0,8.6,17.7,4.0,13.5,13.9,18.4,4198,74843,21759,176,Warren , Ohio,39165
5,"Wayne County, Ohio: Summary level: 050, state:39> county:169",16839,82.1,16.0,35077,46288,26.5,8.2,4.9,3.1,3.0,1.4,2.3,112287,13214,16275,1082,96.5,13.2,16.2,20.0,5.6,6.6,25.5,9.1,21.0,28.7,26.1,4577,41530,16275,592,Wayne , Ohio,39169
6,"Wood County, Ohio: Summary level: 050, state:39> county:173",15539,82.8,17.7,33776,47485,26.6,9.8,3.6,2.9,1.9,2.7,1.3,115994,16339,14933,640,96.0,10.7,14.0,13.6,5.8,4.6,15.1,6.8,10.5,21.6,22.0,4406,47242,14933,114,Wood , Ohio,39173
7,"Canadian County, Oklahoma: Summary level: 050, state:40> county:017",12651,86.7,23.6,43619,56072,22.0,2.0,3.5,3.0,2.0,1.3,1.1,113507,10644,12316,703,98.8,9.7,12.0,16.4,4.3,11.7,27.6,10.3,15.2,17.8,14.8,3253,41819,12316,0,Canadian , Oklahoma,40017
8,"Cleveland County, Oklahoma: Summary level: 050, state:40> county:027",26347,85.9,26.8,41086,50967,25.5,8.2,3.3,2.5,1.7,1.5,1.2,243934,35142,25371,2033,101.1,9.1,11.4,19.2,6.5,11.6,27.4,11.1,18.8,16.0,13.6,10724,95609,25371,0,Cleveland , Oklahoma,40027
9,"Comanche County, Oklahoma: Summary level: 050, state:40> county:031",13168,73.1,18.8,34833,43817,23.9,5.0,3.5,2.0,2.6,1.3,1.1,113889,20099,12751,1030,103.4,8.8,12.3,22.9,9.6,9.1,32.3,11.5,15.4,11.6,11.1,6344,46141,12751,0,Comanche , Oklahoma,40031
10,"Creek County, Oklahoma: Summary level: 050, state:40> county:037",10540,74.1,13.8,27459,40640,26.0,7.4,5.9,3.0,2.5,2.3,1.3,69343,10732,10221,1149,100.3,13.9,16.1,24.1,11.4,11.7,33.0,9.0,16.3,21.2,20.1,3991,27236,10221,55,Creek , Oklahoma,40037
11,"Muskogee County, Oklahoma: Summary level: 050, state:40> county:101",10246,81.0,19.2,28996,39910,24.3,0.8,5.0,2.5,2.5,2.1,2.3,64600,13742,8099,672,92.3,11.9,16.7,13.0,10.6,8.5,25.8,8.1,13.2,20.8,15.1,5751,26664,8099,12,Muskogee , Oklahoma,40101
12,"Oklahoma County, Oklahoma: Summary level: 050, state:40> county:109",86795,82.0,23.0,36357,42564,26.9,7.5,3.6,2.7,2.3,1.8,1.6,707527,127046,84301,6297,95.7,10.3,13.7,16.2,7.8,9.3,27.7,9.5,17.8,16.1,21.0,40334,277615,84301,739,Oklahoma , Oklahoma,40109
13,"Payne County, Oklahoma: Summary level: 050, state:40> county:119",8212,87.2,25.0,30060,35488,25.5,3.7,3.5,2.4,1.9,1.5,1.3,70378,16344,8077,956,109.7,9.1,12.2,17.9,5.2,10.7,27.2,6.9,14.4,16.9,19.7,3566,30344,8077,192,Payne , Oklahoma,40119
14,"Pottawatomie County, Oklahoma: Summary level: 050, state:40> county:125",10007,74.8,12.9,26564,36795,16.5,3.7,5.3,3.2,2.4,1.9,1.6,67022,12358,9397,1431,93.6,13.0,15.6,15.2,14.5,17.7,30.3,10.0,17.3,22.6,14.4,4482,26086,9397,0,Pottawatomie , Oklahoma,40125
15,"Rogers County, Oklahoma: Summary level: 050, state:40> county:131",11600,76.4,11.6,34599,56176,28.5,2.9,5.0,2.8,2.0,1.8,1.8,86482,7548,11221,639,97.5,12.6,14.1,16.0,3.0,6.0,25.6,9.2,12.1,21.7,17.9,3289,32457,11221,0,Rogers , Oklahoma,40131
16,"Tulsa County, Oklahoma: Summary level: 050, state:40> county:143",73417,82.7,22.6,34260,43836,26.4,5.3,3.4,3.0,1.9,2.0,1.9,595151,97093,71026,5643,95.4,10.2,13.9,18.1,7.6,7.7,25.2,8.2,15.7,20.9,21.9,27736,239654,71026,311,Tulsa , Oklahoma,40143
17,"Wagoner County, Oklahoma: Summary level: 050, state:40> county:145",9294,78.3,16.0,36413,57884,29.1,5.6,4.6,3.5,1.6,1.5,1.4,72907,8898,9294,358,92.6,12.0,13.3,27.0,11.3,10.0,28.0,4.3,14.4,16.9,15.4,2531,26290,9294,0,Wagoner , Oklahoma,40145
18,"Benton County, Oregon: Summary level: 050, state:41> county:003",10312,91.3,46.6,47076,45913,24.4,3.2,3.9,2.3,1.7,2.0,2.1,81455,17228,10312,588,101.9,10.6,13.5,20.4,8.0,11.7,18.3,8.6,12.3,19.9,24.7,4869,32888,10312,72,Benton , Oregon,41003
19,"Clackamas County, Oregon: Summary level: 050, state:41> county:005",51029,89.3,23.9,38955,57298,25.4,3.1,4.6,3.0,2.4,1.5,2.0,374870,38265,50622,3021,97.3,12.1,15.0,16.4,7.2,11.5,23.8,10.1,17.5,23.1,21.4,18860,143814,50622,196,Clackamas , Oregon,41005
20,"Deschutes County, Oregon: Summary level: 050, state:41> county:017",23527,90.1,31.0,35110,44680,16.1,1.8,5.7,3.0,2.4,2.1,1.7,157453,24171,23527,1656,97.4,14.2,15.6,18.5,9.2,9.3,20.4,7.1,13.5,23.5,19.3,11087,64120,23527,0,Deschutes , Oregon,41017
21,"Douglas County, Oregon: Summary level: 050, state:41> county:019",22445,80.8,12.1,27380,36510,10.7,4.1,6.0,5.2,3.4,3.5,2.7,106375,20921,21910,3031,97.0,19.8,21.9,24.2,3.2,9.9,26.8,8.4,13.8,20.7,22.9,8897,44191,21910,305,Douglas , Oregon,41019
22,"Jackson County, Oregon: Summary level: 050, state:41> county:029",36579,86.0,23.5,30673,40177,23.7,3.4,5.0,4.3,3.2,3.3,2.2,200897,29887,36185,2588,95.3,16.0,19.8,18.4,5.3,9.0,22.3,10.4,14.6,19.8,27.8,14881,81508,36185,104,Jackson , Oregon,41029
23,"Josephine County, Oregon: Summary level: 050, state:41> county:033",18530,83.0,14.9,30079,36626,14.2,5.4,6.1,5.8,3.1,4.0,3.5,81898,14192,18090,1844,94.8,21.2,23.5,18.7,5.9,14.4,22.5,9.1,16.7,20.7,26.5,7662,34099,18090,68,Josephine , Oregon,41033
24,"Klamath County, Oregon: Summary level: 050, state:41> county:035",11170,84.1,15.0,30801,37660,10.4,11.7,5.7,3.9,4.1,2.1,1.5,64201,10098,11170,1081,99.2,16.0,18.5,16.1,6.5,11.8,22.9,7.0,14.8,17.0,24.7,6644,27582,11170,151,Klamath , Oregon,41035
