,Unnamed: 0,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B02001_008E,B02001_001E,B01001A_014E,B01001A_015E,B01001A_016E,B01001A_029E,B01001A_030E,B01001A_031E,B01001B_014E,B01001B_015E,B01001B_016E,B01001B_029E,B01001B_030E,B01001B_031E,B01001C_014E,B01001C_015E,B01001C_016E,B01001C_029E,B01001C_030E,B01001C_031E,B01001D_014E,B01001D_015E,B01001D_016E,B01001D_029E,B01001D_030E,B01001D_031E,B01001E_014E,B01001E_015E,B01001E_016E,B01001E_029E,B01001E_030E,B01001E_031E,B01001F_014E,B01001F_015E,B01001F_016E,B01001F_029E,B01001F_030E,B01001F_031E,B01001G_014E,B01001G_015E,B01001G_016E,B01001G_029E,B01001G_030E,B01001G_031E,B01001I_014E,B01001I_015E,B01001I_016E,B01001I_029E,B01001I_030E,B01001I_031E,state,fips
0,"California: Summary level: 040, state:06",23628545,2263723,285342,5120354,146712,4912894,1683860,38041430,864417,448304,182999,966541,580302,331922,61585.0,30936.0,7705.0,77737.0,42647.0,18543.0,7765.0,2490.0,848.0,8131.0,4032.0,1964.0,159940.0,87141.0,26547.0,198807.0,118339.0,49784.0,2456.0,1528.0,72.0,3969.0,1515.0,119.0,59880.0,27518.0,8287.0,74727.0,40289.0,13405.0,22794,12219,3026,28405,15051,4707,219173,104144,34354,273086,149205,58456,California,06
1,"Colorado: Summary level: 040, state:08",4376673,218292,47949,147082,5308,219565,172713,5187582,156711,72015,23521,170163,94410,45035,4527.0,1975.0,403.0,5041.0,2287.0,1321.0,1624.0,343.0,12.0,1099.0,453.0,312.0,2863.0,1336.0,574.0,4968.0,1965.0,777.0,,,,,,,3635.0,1234.0,236.0,3970.0,1242.0,557.0,1597,945,182,1886,1154,448,18072,7132,1842,20399,9854,3455,Colorado,08
2,"Connecticut: Summary level: 040, state:09",2804972,366350,11627,147830,2261,163423,93884,3590347,115654,62151,26890,131853,88017,54162,8176.0,3679.0,904.0,11873.0,5656.0,2913.0,238.0,232.0,0.0,156.0,42.0,0.0,2825.0,1224.0,48.0,3145.0,1684.0,295.0,,,,,,,2523.0,555.0,60.0,3120.0,577.0,357.0,1031,182,92,1033,272,248,7318,2795,686,9849,4018,1335,Connecticut,09
3,"Delaware: Summary level: 040, state:10",639294,196950,2868,30632,144,23251,23953,917092,31230,16347,4682,35054,19877,9876,5039.0,1835.0,820.0,6438.0,3026.0,1418.0,,,,,,,773.0,310.0,120.0,766.0,769.0,56.0,,,,,,,150.0,166.0,0.0,434.0,176.0,0.0,364,49,0,231,159,29,814,438,82,976,645,76,Delaware,10
4,"District of Columbia: Summary level: 040, state:11",250657,313224,2258,21858,54,28401,15871,632323,7207,3082,1096,7595,3589,2191,9672.0,5331.0,1443.0,13448.0,9733.0,4402.0,,,,,,,362.0,195.0,31.0,438.0,161.0,256.0,,,,,,,259.0,0.0,0.0,338.0,47.0,0.0,29,135,94,267,228,0,917,263,94,1208,736,27,District of Columbia,11
5,"Florida: Summary level: 040, state:12",14742516,3105799,51471,488052,11609,459361,458760,19317568,779435,455771,171122,878996,553068,280386,73929.0,33009.0,8438.0,95467.0,50544.0,19743.0,2101.0,480.0,150.0,1394.0,391.0,108.0,14319.0,5133.0,1181.0,20208.0,7031.0,2633.0,,,,,,,7143.0,2619.0,573.0,6775.0,3910.0,598.0,9000,4399,576,9869,5344,2373,116972,64275,19499,149557,92157,37181,Florida,12
6,"Georgia: Summary level: 040, state:13",5992846,3063367,24166,337015,2882,297813,201856,9919945,239979,109305,29244,269651,149160,64559,64785.0,23432.0,5681.0,85200.0,44141.0,17362.0,516.0,235.0,0.0,338.0,119.0,39.0,6905.0,3176.0,477.0,7742.0,3203.0,531.0,,,,,,,2197.0,378.0,0.0,1227.0,709.0,319.0,1854,1230,18,3477,1205,695,6800,3532,786,8728,4559,2105,Georgia,13
7,"Hawaii: Summary level: 040, state:15",347252,25613,3153,531663,145408,15499,323725,1392313,17901,6357,3230,15816,6719,4482,386.0,349.0,153.0,103.0,0.0,169.0,,,,,,,26288.0,15819.0,9316.0,30462.0,24558.0,16401.0,3739.0,1578.0,266.0,4176.0,1877.0,532.0,194.0,0.0,88.0,233.0,93.0,94.0,5327,1479,793,7222,2551,1513,1652,557,238,2178,1097,383,Hawaii,15
8,"Idaho: Summary level: 040, state:16",1458371,8759,20764,20613,1686,46011,39524,1595728,58505,28013,9277,60202,32118,16762,,,,,,,397.0,260.0,92.0,590.0,273.0,66.0,247.0,0.0,0.0,403.0,243.0,11.0,,,,,,,278.0,153.0,0.0,508.0,327.0,0.0,768,33,0,1064,226,0,2042,761,90,2464,999,30,Idaho,16
9,"Illinois: Summary level: 040, state:17",9358637,1853436,26814,617924,4231,731378,282835,12875255,350449,183920,68934,398462,256845,145355,47261.0,21732.0,5373.0,65137.0,37285.0,15263.0,213.0,307.0,0.0,1057.0,265.0,251.0,19181.0,6199.0,2044.0,21362.0,8493.0,3490.0,,,,,,,7100.0,3433.0,1018.0,8324.0,4713.0,1002.0,4103,995,334,3189,1986,446,28716,11256,3310,31731,15019,5648,Illinois,17
