,Unnamed: 0,Unnamed: 0.1_x,S1501_C01_025E,S1501_C01_026E,S1501_C01_027E,S1903_C02_014E,S1903_C02_001E,S2301_C03_007E,S2301_C03_008E,S0101_C01_015E,S0101_C01_016E,S0101_C01_017E,S0101_C01_018E,S0101_C01_019E,S1701_C01_001E,S1701_C02_001E,S1701_C01_005E,S1701_C02_005E,S0101_C01_031E,S0101_C02_028E,S0101_C03_028E,S1810_C03_019E,S1810_C03_020E,S1810_C03_021E,S1810_C03_022E,S1810_C03_023E,S1810_C03_024E,S2101_C02_012E,S2101_C02_013E,S2201_C02_001E,S2201_C01_001E,S2701_C01_004E,S2701_C02_004E,county,state,fips,Unnamed: 0.1_y,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B02001_008E,B02001_001E,B01001A_014E,B01001A_015E,B01001A_016E,B01001A_029E,B01001A_030E,B01001A_031E,B01001B_014E,B01001B_015E,B01001B_016E,B01001B_029E,B01001B_030E,B01001B_031E,B01001C_014E,B01001C_015E,B01001C_016E,B01001C_029E,B01001C_030E,B01001C_031E,B01001D_014E,B01001D_015E,B01001D_016E,B01001D_029E,B01001D_030E,B01001D_031E,B01001E_014E,B01001E_015E,B01001E_016E,B01001E_029E,B01001E_030E,B01001E_031E,B01001F_014E,B01001F_015E,B01001F_016E,B01001F_029E,B01001F_030E,B01001F_031E,B01001G_014E,B01001G_015E,B01001G_016E,B01001G_029E,B01001G_030E,B01001G_031E,B01001I_014E,B01001I_015E,B01001I_016E,B01001I_029E,B01001I_030E,B01001I_031E,year,population_all,population_65,income_median_house_65,income_median_house_all,per_poverty_all,per_poverty_65,per_male_all,per_hear_diffi_65,per_vision_diffi_65,per_cog_diffi_65,per_ambu_diffi_65,per_selfCare_diffi_65,per_indeLive_diffi_65,per_oneRace_white_all,per_oneRace_baa_all,per_oneRace_aian_all,per_oneRace_asian_all,per_oneRace_nhopi_all,per_oneRace_other_all,per_twoRace_over_all,per_male_65
0,0,"Cheshire County, New Hampshire: Summary level: 050, state:33> county:005",12664,86.4,26.3,34051,51945,30.1,2.5,5.3,4.1,2.5,2.0,2.7,71798,8745,12126,1096,93.9,15.3,17.7,20.9,9.7,8.8,24.8,6.7,12.6,24.4,23.9,3581,30603,12126,0,Cheshire , New Hampshire,33005,"Cheshire County, New Hampshire: Summary level: 050, state:33> county:005",611371.0,32895.0,390.0,26187.0,450.0,75290.0,15967.0,762550.0,3424,1660,541,30673,18672,13404,,,,546.0,359.0,171.0,,,,,,,715.0,239.0,0.0,645.0,478.0,70.0,,,,,,,1103.0,207.0,0.0,1666.0,171.0,78.0,229.0,106.0,0.0,0.0,0.0,,,,,,,,2013,762550.0,12664,34051,51945,0.12180005014067244,0.09038429820221013,0.4842702423929861,0.209,0.09699999999999999,0.08800000000000001,0.248,0.067,0.126,0.8017454593141433,0.04313815487509016,0.0005114418726640877,0.03434135466526785,0.0005901252376893318,0.09873450921251066,0.02093895482263458,0.4441724573594441
1,1,"Grafton County, New Hampshire: Summary level: 050, state:33> county:009",15481,86.5,29.6,41907,56370,34.0,3.8,5.7,4.2,2.8,2.6,2.0,82997,9279,15018,803,98.5,16.1,18.4,17.8,4.3,6.4,17.9,5.6,9.6,29.3,23.1,2381,35728,15018,11,Grafton , New Hampshire,33009,"Grafton County, New Hampshire: Summary level: 050, state:33> county:009",,,,,,,,,4353,1726,1001,4805,2167,1578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,,15481,41907,56370,0.11179922165861417,0.05346917032893861,0.49622166246851385,0.17800000000000002,0.043,0.064,0.179,0.055999999999999994,0.096,,,,,,,,0.457334797493702
2,2,"Hillsborough County, New Hampshire: Summary level: 050, state:33> county:011",54171,84.5,26.9,42590,67574,31.0,5.4,4.5,3.0,2.5,1.8,1.5,395786,38127,51631,2938,98.4,11.8,15.0,15.9,4.9,7.9,21.2,6.2,12.6,25.0,22.7,13643,155036,51631,199,Hillsborough , New Hampshire,33011,"Hillsborough County, New Hampshire: Summary level: 050, state:33> county:011",157303.0,2788.0,997.0,4352.0,92.0,1141.0,2868.0,169541.0,14054,7044,1816,6462,4315,2520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317.0,64.0,165.0,361.0,62.0,187.0,2013,169541.0,54171,42590,67574,0.09633236142764019,0.05690379810578916,0.4959677419354839,0.159,0.049,0.079,0.212,0.062,0.126,0.9278168702555724,0.016444399879675123,0.0058805834576887,0.02566930712924897,0.0005426416029161088,0.006729935531818262,0.016916262143080434,0.42299385279946833
3,3,"Merrimack County, New Hampshire: Summary level: 050, state:33> county:013",22420,85.2,31.5,44821,65662,32.5,9.5,4.5,4.1,2.6,1.7,2.4,140511,12638,21225,1300,97.6,13.6,16.9,15.1,6.8,8.4,20.9,8.0,13.5,25.3,28.1,5522,55085,21225,0,Merrimack , New Hampshire,33013,"Merrimack County, New Hampshire: Summary level: 050, state:33> county:013",84745.0,625.0,591.0,333.0,0.0,651.0,1444.0,88389.0,6029,2831,949,4093,2030,1052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,88389.0,22420,44821,65662,0.08994313612457387,0.061248527679623084,0.4939271255060729,0.151,0.068,0.084,0.209,0.08,0.135,0.9587731505051533,0.007071015624116123,0.006686352374164206,0.0037674371245290704,0.0,0.007365169874079354,0.01633687449795789,0.4375111507582516
4,4,"Rockingham County, New Hampshire: Summary level: 050, state:33> county:015",44042,90.9,31.2,46276,74782,31.5,7.2,5.0,3.8,2.5,1.5,1.9,296088,16641,43054,1951,97.2,13.5,15.9,14.0,4.7,4.8,19.2,4.3,10.9,27.3,23.9,5758,117890,43054,0,Rockingham , New Hampshire,33015,"Rockingham County, New Hampshire: Summary level: 050, state:33> county:015",66762.0,2918.0,350.0,253.0,0.0,2386.0,2786.0,75455.0,12177,4726,2373,3184,1605,977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,75455.0,44042,46276,74782,0.056202885628596905,0.04531518558089841,0.4929006085192698,0.14,0.047,0.048,0.192,0.043,0.109,0.8847922602875886,0.03867205619243257,0.004638526273938109,0.00335299184944669,0.0,0.03162149625604665,0.03692266914054734,0.4376731301939058
5,5,"Strafford County, New Hampshire: Summary level: 050, state:33> county:017",16780,87.8,25.2,40913,60692,22.4,12.3,5.2,2.6,2.0,1.8,1.9,115716,9490,16280,1040,94.7,12.2,14.7,20.5,5.1,9.1,16.8,4.1,13.2,29.3,19.4,5348,47528,16280,0,Strafford , New Hampshire,33017,"Strafford County, New Hampshire: Summary level: 050, state:33> county:017",90116.0,88.0,1677.0,1117.0,61.0,192.0,1469.0,94720.0,4478,2166,609,2912,1309,1015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,94720.0,16780,40913,60692,0.08201113069929829,0.06388206388206388,0.4863893168977915,0.205,0.051,0.091,0.168,0.040999999999999995,0.132,0.9513935810810811,0.0009290540540540541,0.017704814189189188,0.011792652027027027,0.0006440033783783784,0.002027027027027027,0.015508868243243244,0.4322407628128725
6,6,"Atlantic County, New Jersey: Summary level: 050, state:34> county:001",42376,78.8,20.6,39980,52127,28.1,4.1,5.0,3.6,2.1,2.4,2.3,270136,48716,41321,4800,94.7,13.9,16.7,13.1,7.5,8.8,25.0,9.0,16.2,21.8,33.0,15197,101721,41321,728,Atlantic , New Jersey,34001,"Atlantic County, New Jersey: Summary level: 050, state:34> county:001",69904.0,394.0,592.0,1519.0,0.0,577.0,973.0,73959.0,8886,4418,1848,3475,2422,1377,961.0,393.0,191.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.0,548.0,559.0,0.0,790.0,355.0,290.0,2013,73959.0,42376,39980,52127,0.1803387923120206,0.11616369400546937,0.4863893168977915,0.131,0.075,0.08800000000000001,0.25,0.09,0.162,0.9451723252072094,0.005327275923146608,0.008004434889600995,0.020538406414364715,0.0,0.007801619816384753,0.013155937749293528,0.357560883518973
7,7,"Bergen County, New Jersey: Summary level: 050, state:34> county:003",146132,82.8,32.7,50094,81670,31.3,7.8,4.8,3.5,2.6,2.2,2.7,914137,74517,142489,10218,93.8,13.9,17.6,11.1,5.0,6.6,17.9,7.5,13.3,29.6,40.2,17632,338063,142489,3151,Bergen , New Jersey,34003,"Bergen County, New Jersey: Summary level: 050, state:34> county:003",84321.0,3245.0,365.0,1704.0,21.0,2737.0,3416.0,95809.0,28036,15384,7731,3779,1680,1171,1608.0,807.0,140.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0,3030.0,1182.0,587.0,4178.0,2490.0,655.0,2013,95809.0,146132,50094,81670,0.08151622787394013,0.0717107987283229,0.4840041279669762,0.111,0.05,0.066,0.179,0.075,0.133,0.8800947718899059,0.03386946946529032,0.0038096629752945965,0.017785385506580802,0.00021918608898955212,0.028567253598304962,0.03565427047563381,0.3500328470150275
8,8,"Burlington County, New Jersey: Summary level: 050, state:34> county:005",68422,86.5,24.7,50619,77398,31.0,8.1,4.9,3.4,2.6,2.2,2.1,438603,25014,66333,2963,96.9,13.2,17.1,12.9,4.1,6.8,20.5,5.6,11.9,21.5,26.8,7622,162245,66333,464,Burlington , New Jersey,34005,"Burlington County, New Jersey: Summary level: 050, state:34> county:005",74143.0,360.0,1036.0,745.0,0.0,1682.0,3007.0,80973.0,13764,7531,2934,2639,1648,919,2154.0,1301.0,227.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,282.0,327.0,146.0,715.0,271.0,0.0,2013,80973.0,68422,50619,77398,0.0570310736588669,0.04466856617369937,0.4921279837480955,0.129,0.040999999999999995,0.068,0.205,0.055999999999999994,0.11900000000000001,0.9156508959776716,0.00444592641991775,0.012794388252874414,0.009200597730107566,0.0,0.0207723562175046,0.0371358354019241,0.35411125076729705
9,9,"Camden County, New Jersey: Summary level: 050, state:34> county:007",71200,79.0,20.9,40172,58006,27.3,6.0,4.1,3.6,2.2,1.8,2.2,505832,75667,69217,6734,93.8,12.0,15.6,15.2,8.5,12.4,28.5,10.1,21.1,25.3,28.3,25734,185774,69217,1084,Camden , New Jersey,34007,"Camden County, New Jersey: Summary level: 050, state:34> county:007",79657.0,4808.0,374.0,690.0,0.0,4989.0,2878.0,93396.0,13964,6600,3029,4800,2610,1070,2353.0,1284.0,333.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.0,1186.0,546.0,61.0,1345.0,509.0,373.0,2013,93396.0,71200,40172,58006,0.14958919166838003,0.09728823843853389,0.4840041279669762,0.152,0.085,0.124,0.285,0.10099999999999999,0.21100000000000002,0.852895198937856,0.05147972075891901,0.004004454152212086,0.007387896697931389,0.0,0.053417705255043045,0.03081502419803846,0.3313623595505618
