,Unnamed: 0,S1501_C01_025E,S1501_C01_026E,S1501_C01_027E,S1903_C03_014E,S1903_C03_001E,S2301_C03_010E,S2301_C02_011E,S0101_C01_015E,S0101_C01_016E,S0101_C01_017E,S0101_C01_018E,S0101_C01_019E,S1701_C01_001E,S1701_C02_001E,S1701_C01_010E,S1701_C02_010E,S0101_C01_033E,S0101_C03_030E,S0101_C05_030E,S1810_C03_026E,S1810_C03_036E,S1810_C03_044E,S1810_C03_052E,S1810_C03_060E,S1810_C03_067E,S2101_C03_012E,S2101_C03_013E,S2201_C03_001E,S2201_C01_001E,S2701_C01_013E,S2701_C04_013E,state,fips
0,"Alaska: Summary level: 040, state:02",88000,78501,28693,59339,74346,28.1,8.9,37327,22303,12674,8326,7370,720869,78620,86398,5829,108.0,44317,43683,20.2,9.2,9.5,21.7,7.7,13.1,14805,7949,27815,254551,86398,636,Alaska,02
1,"Maine: Summary level: 040, state:23",276069,247476,83544,40435,55602,26.6,6.6,92398,71555,45849,31418,34849,1301941,151541,267600,24261,96.1,124873,151196,16.9,5.1,8.0,19.2,5.6,11.3,30027,25673,73727,570307,267600,371,Maine,23
2,"North Carolina: Summary level: 040, state:37",1688574,1430755,453837,41169,53855,23.1,6.8,557841,456155,307710,187801,179067,10100431,1417873,1649045,142973,94.8,737862,950712,14.4,6.2,8.7,21.2,7.1,13.6,167641,129326,465045,4011462,1649045,8991,North Carolina,37
3,"Missouri: Summary level: 040, state:29",1035074,900458,241853,41038,54478,23.9,6.4,325747,270876,189386,124260,124805,5943658,786330,998152,82040,96.2,456820,578254,15.8,6.5,8.5,23.1,7.4,13.8,111167,89618,260185,2434806,998152,5233,Missouri,29
4,"Pennsylvania: Summary level: 040, state:42",2332369,2035669,569760,41762,60905,25.7,7.3,738871,572288,416388,291182,313640,12394000,1517870,2254045,187159,96.0,1020825,1311544,13.7,5.5,7.8,20.8,7.0,13.9,213114,212748,679656,5070931,2254045,8284,Pennsylvania,42
5,"Michigan: Summary level: 040, state:26",1720453,1522902,425717,42816,56697,21.1,6.1,571074,438112,307120,199854,204293,9774124,1373349,1680663,151051,97.2,769203,951250,14.7,5.4,8.1,21.1,7.6,13.9,160392,135413,498793,3957466,1680663,5241,Michigan,26
6,"Nebraska: Summary level: 040, state:31",303998,274295,77664,42851,59566,33.3,8.4,101512,71341,50933,38260,41952,1875342,206341,292316,22110,99.3,136845,167153,15.8,5.8,6.6,20.0,6.1,11.6,30416,27223,64082,765490,292316,928,Nebraska,31
7,"Oregon: Summary level: 040, state:41",739611,678185,235906,47314,63426,21.6,6.5,259612,187984,128833,81800,81382,4113142,516570,728431,57589,98.5,340780,398831,16.1,5.7,8.1,20.0,6.8,12.9,81750,69888,241059,1639970,728431,4188,Oregon,41
8,"Wyoming: Summary level: 040, state:56",96557,87458,23971,44870,61584,28.4,9.3,35859,23608,17470,10362,9258,563374,62301,94202,6851,102.6,46060,50497,18.8,6.2,6.6,17.4,3.8,8.6,13600,8217,11545,230252,94202,185,Wyoming,56
9,"California: Summary level: 040, state:06",5667337,4570203,1825043,54272,75277,26.3,7.0,1856655,1429806,975951,675345,729580,38818454,4969326,5572308,586529,98.9,2521517,3145820,13.4,6.1,9.4,21.7,9.7,16.1,389129,403245,1114465,13072122,5572308,58804,California,06
