,county,state,fips,year,population_all,population_65,income_median_house_65,income_median_house_all,per_poverty_all,per_poverty_65,per_male_all,per_hear_diffi_65,per_vision_diffi_65,per_cog_diffi_65,per_ambu_diffi_65,per_selfCare_diffi_65,per_indeLive_diffi_65,per_oneRace_white_all,per_oneRace_baa_all,per_oneRace_aian_all,per_oneRace_asian_all,per_oneRace_nhopi_all,per_oneRace_other_all,per_twoRace_over_all,per_male_65,per_high_65,per_bachelor_65,per_employment_65,per_veteran_65,per_stamp_house_all,per_insured_65
0,Stark , Ohio,39151,2010,559276.0,60649,33270,42664,0.1431907762654364,0.06719197213697024,0.48665297741273106,0.133,0.046,0.078,0.19899999999999998,0.064,0.122,0.7309736158891138,0.19759832354687126,0.00022707929537473448,0.04555711312482567,0.0,0.005675194358420529,0.019968673785393968,0.3979785322099293,0.802,0.138,0.21774776481063168,0.3285351127306304,0.1320864795268304,0.9972757681299356
1,Summit , Ohio,39153,2010,678697.0,79490,31242,45593,0.1532461242129214,0.08852212079107638,0.4837377387712959,0.13699999999999998,0.067,0.083,0.247,0.092,0.168,0.7688349882200747,0.10919453010695494,0.0021585479234474294,0.045308878630670235,0.0011168459562956666,0.04828369655383772,0.02510251260871936,0.36917851302050575,0.787,0.194,0.14981879807522958,0.27964980300666753,0.1340109183307045,0.9951174538041008
2,Trumbull , Ohio,39155,2010,,36389,31497,40153,0.1844220399501955,0.0912898296451412,0.483204134366925,0.14400000000000002,0.067,0.10800000000000001,0.213,0.081,0.175,,,,,,,,0.4024842672236115,0.768,0.114,,,0.1371609146428064,0.9986416888335504
3,Tuscarawas , Ohio,39157,2010,234568.0,15106,25423,38882,0.14868718005174214,0.06846311620340903,0.4890137966274911,0.131,0.051,0.067,0.185,0.048,0.12300000000000001,0.8335365437740868,0.10926895399201936,0.005452576651546672,0.011885679206029807,0.007046997032843355,0.0193334129122472,0.013475836431226766,0.4207599629286377,0.772,0.087,0.2888698864027539,0.6971200709651795,0.1449431652579423,0.9794893556828629
4,Warren , Ohio,39165,2010,1506008.0,22877,38968,66499,0.05114263084495887,0.045360540466014065,0.5042141794744671,0.138,0.07,0.086,0.177,0.04,0.135,0.8086583869408396,0.0460641643337884,0.0013306702222033347,0.09260043771347827,0.0002051781929445262,0.0238398468002826,0.027301315796463232,0.4343226821698649,0.758,0.234,1.2099675237137737,1.1245193275342047,0.05609074996993707,0.99191139298681
5,Wayne , Ohio,39169,2010,131642.0,16839,35077,46288,0.11768058635460915,0.06648233486943164,0.4910941475826972,0.2,0.055999999999999994,0.066,0.255,0.091,0.21,0.8878093617538475,0.06441713131067593,0.00041020343051609667,0.0049300375260175324,0.0004557815894623296,0.007520396226128439,0.03445708816335212,0.42805392244195023,0.821,0.16,0.20868528701229289,0.31620191068353226,0.1102094871177462,0.9636251920122888
6,Wood , Ohio,39173,2010,926197.0,15539,33776,47485,0.14086073417590564,0.0428580995111498,0.4897959183673469,0.136,0.057999999999999996,0.046,0.151,0.068,0.105,0.4511416037840762,0.4406200840641893,0.0017048208966343016,0.05779655947924685,0.0002537257192584299,0.02909640173742735,0.01938680431916752,0.41115901924190745,0.828,0.177,1.3751989950447259,1.6105182405560206,0.0932644680580839,0.9923659010245764
7,Canadian , Oklahoma,40017,2010,280686.0,12651,43619,56072,0.09377395226726104,0.05708022085092562,0.4969818913480885,0.16399999999999998,0.043,0.11699999999999999,0.276,0.10300000000000001,0.152,0.8875398131720142,0.07248669331566235,0.002664899567488225,0.012611957846134114,0.0,0.007374788910027575,0.017321847188673464,0.4068453086712513,0.867,0.236,0.3367965757647617,0.4011828513161016,0.07778760850331189,1.0
8,Cleveland , Oklahoma,40027,2010,136446.0,26347,41086,50967,0.1440635581755721,0.08013085806629616,0.5027349577324713,0.192,0.065,0.11599999999999999,0.27399999999999997,0.111,0.188,0.9320390484147576,0.04207525321372558,0.0010700203743605528,0.0,0.0,0.002521143895753632,0.022294534101402752,0.4058906137321137,0.8590000000000001,0.268,0.0952796716134664,0.07904929380954187,0.11216517273478438,1.0
9,Comanche , Oklahoma,40031,2010,149834.0,13168,34833,43817,0.17647885221575393,0.08077797819778841,0.5083579154375615,0.22899999999999998,0.096,0.091,0.32299999999999995,0.115,0.154,0.934948009130104,0.03014002162393048,0.0002736361573474645,0.006907644459868922,0.0,0.00902999319246633,0.01870069543628282,0.3417375455650061,0.731,0.188,0.17801890416160387,0.1357472372417983,0.13749160182917575,1.0
10,Creek , Oklahoma,40037,2010,161746.0,10540,27459,40640,0.1547668834633633,0.11241561491047844,0.5007488766849725,0.24100000000000002,0.114,0.11699999999999999,0.33,0.09,0.163,0.733804854524996,0.19947943071235147,0.004253582777935775,0.013923064558010708,0.00021020612565380287,0.01055976654754986,0.0377690947535024,0.3943074003795066,0.741,0.138,0.4243760800759013,0.4777031531309297,0.14653399911881335,0.9946189218276098
11,Muskogee , Oklahoma,40101,2010,799553.0,10246,28996,39910,0.2127244582043344,0.08297320656871217,0.4799791991679666,0.13,0.106,0.085,0.258,0.081,0.132,0.8732892003406904,0.039290703680681584,0.0019235747974180575,0.03895676709361357,0.00037646034721900876,0.021258127979008272,0.02490516576136917,0.3295920359164552,0.81,0.192,1.4652749054265082,2.0304088919578374,0.21568406840684068,0.9985183355969872
12,Oklahoma , Oklahoma,40109,2010,88847.0,86795,36357,42564,0.17956346542252094,0.0746966228158622,0.4890137966274911,0.162,0.078,0.09300000000000001,0.27699999999999997,0.095,0.17800000000000002,0.948923430166466,0.02488547728116875,0.002903868448006123,0.010039731223338998,0.00162076378493365,0.002397379765214357,0.009229349330872171,0.3473587188202085,0.82,0.23,0.021723728717092,0.02263579366322945,0.14528753849755954,0.991233793193438
13,Payne , Oklahoma,40119,2010,203341.0,8212,30060,35488,0.2322316633038733,0.1183607775164046,0.5231282784930854,0.179,0.052000000000000005,0.107,0.272,0.069,0.14400000000000002,0.8003403150373019,0.14755509218504875,0.004642447907701841,0.0148420633320383,0.0007524306460576077,0.016145292882399517,0.0157223580094521,0.4147588894301023,0.872,0.25,0.41559612079883096,0.4761626193375548,0.11751911415765885,0.9762287978209732
14,Pottawatomie , Oklahoma,40125,2010,167241.0,10007,26564,36795,0.18438721613798453,0.1522826433968288,0.4834710743801653,0.152,0.145,0.177,0.303,0.1,0.17300000000000001,0.9270992161013148,0.03194192811571325,0.0018835094265162247,0.013662917585998649,0.0,0.005572796144486101,0.019839632625970903,0.3925252323373639,0.748,0.129,0.2708746005795943,0.4630337909463376,0.17181629993099748,1.0
15,Rogers , Oklahoma,40131,2010,,11600,34599,56176,0.08727827756064846,0.0569467961857232,0.4936708860759494,0.16,0.03,0.06,0.256,0.092,0.121,,,,,,,,0.4088793103448276,0.764,0.116,,,0.10133407277320763,1.0
16,Tulsa , Oklahoma,40143,2010,214367.0,73417,34260,43836,0.1631401106609919,0.07944977895418577,0.4882292732855681,0.18100000000000002,0.076,0.077,0.252,0.08199999999999999,0.157,0.9341549772119776,0.024164167059295503,0.0008863304519818819,0.01672832105687909,0.0008863304519818819,0.01136368937383086,0.01181618439405319,0.3573695465627852,0.8270000000000001,0.226,0.058309505836522876,0.07614398063118896,0.11573351581863855,0.9956213217694928
17,Wagoner , Oklahoma,40145,2010,144509.0,9294,36413,57884,0.12204589408424432,0.03851947493006242,0.4807892004153686,0.27,0.113,0.1,0.28,0.043,0.14400000000000002,0.8668318236234421,0.0451667370198396,0.0006020386273519298,0.049055768152848615,0.0004982388640153902,0.008103301524472525,0.02974209218802981,0.4202711426726921,0.7829999999999999,0.16,0.405679397353131,0.3205972746933505,0.09627234689996196,1.0
18,Benton , Oregon,41003,2010,65539.0,10312,47076,45913,0.21150328402185256,0.05702094647013189,0.5047052996532937,0.204,0.08,0.11699999999999999,0.183,0.086,0.12300000000000001,0.8524847800546239,0.1056470193320008,0.004409588184134637,0.004745266177390561,0.0,0.001037550160972856,0.03167579609087719,0.4243599689681924,0.913,0.466,0.10794359736229636,0.16946585492629945,0.14804792021405985,0.9930178432893716
19,Clackamas , Oregon,41005,2010,229844.0,51029,38955,57298,0.10207538613385972,0.05967761052506816,0.4931576279776989,0.16399999999999998,0.07200000000000001,0.115,0.23800000000000002,0.10099999999999999,0.175,0.4002410330485025,0.5448130036024434,0.0024842936948539012,0.02104035780790449,0.0003915699343902821,0.01545831085431858,0.015571431057586885,0.4229555742812911,0.893,0.239,0.09518691826216463,0.1359452783319289,0.13114161347295816,0.9961281656196912
20,Deschutes , Oregon,41017,2010,119626.0,23527,35110,44680,0.1535124767390904,0.07038721468950568,0.4934143870314083,0.185,0.092,0.09300000000000001,0.204,0.071,0.135,0.8366993797335027,0.11627906976744184,0.00858509019778309,0.00658719676324545,0.0,0.007222510156654907,0.024626753381371942,0.4610447570876015,0.901,0.31,0.07689480163216729,0.16479781893144044,0.1729101684341859,1.0
21,Douglas , Oregon,41019,2010,88691.0,22445,27380,36510,0.1966721504112809,0.13833865814696486,0.4923857868020304,0.242,0.032,0.099,0.268,0.084,0.138,0.9400502869513254,0.02439931898388788,0.0067312354128378285,0.015469438838213572,0.0004284538453732623,0.005739026507762907,0.0071822394605991595,0.4509244820672756,0.8079999999999999,0.121,0.06290758387168635,0.17848051182891514,0.20133058767622367,0.986079415791876
