,state,fips,year,population_all,population_65,income_median_house_65,income_median_house_all,per_poverty_all,per_poverty_65,per_male_all,per_hear_diffi_65,per_vision_diffi_65,per_cog_diffi_65,per_ambu_diffi_65,per_selfCare_diffi_65,per_indeLive_diffi_65,per_oneRace_white_all,per_oneRace_baa_all,per_oneRace_aian_all,per_oneRace_asian_all,per_oneRace_nhopi_all,per_oneRace_other_all,per_twoRace_over_all,per_male_65,per_high_65,per_bachelor_65,per_employment_65,per_veteran_65,per_stamp_house_all,per_insured_65
0,Alabama,1,2010,4785298,657974,30763,40474,0.19033548533631028,0.10697386271849683,0.485331960885229,0.17300000000000001,0.092,0.13,0.301,0.113,0.209,0.6946852630703458,0.26392922656018497,0.005802773411394651,0.011031496889012973,0.00012663788127719526,0.010802462041026492,0.01362214014675784,0.349718985856584,0.723,0.16699999999999998,0.1296445180934201,0.1918631230686927,0.14331582148492247,0.9969902524329708
1,Alaska,2,2010,713985,53339,43987,64576,0.09942137303357244,0.05655026046691105,0.5215311004784688,0.201,0.08199999999999999,0.087,0.228,0.083,0.13,0.6743082837874745,0.034609970797705836,0.146416241237561,0.05478826585992703,0.010697703733271708,0.009098230354979446,0.07008130422908045,0.3870338776504996,0.8290000000000001,0.244,0.23054357327658934,0.12252019544798365,0.10593849416755036,0.9773490256608142
2,Arizona,4,2010,6413737,886795,37134,46789,0.17444664056195386,0.07721800904563936,0.4974874371859296,0.145,0.065,0.078,0.207,0.066,0.125,0.7944476051949121,0.041163053614452855,0.0445556155483145,0.027135350264596132,0.0018990488696371554,0.06436278880783543,0.02643653770025181,0.4172046527100401,0.8370000000000001,0.245,0.12463028770347148,0.2143710380414865,0.13222081789164755,0.9888779752387044
3,Arkansas,5,2010,2921606,420075,29452,38307,0.18835776347472602,0.1022124287309414,0.4897959183673469,0.18100000000000002,0.08900000000000001,0.111,0.285,0.091,0.16899999999999998,0.7837110821924653,0.1589574364236656,0.006374918452385435,0.011377304126566005,0.0017421924790680195,0.021011731219062392,0.016825335106787156,0.3923561268821044,0.725,0.152,0.1406502127905731,0.19537881509730404,0.13724255584795794,0.9975642533176551
4,California,6,2010,37349363,4269495,40255,57708,0.15803525840690494,0.09749720551088337,0.4972347913524384,0.147,0.07,0.106,0.24100000000000002,0.107,0.184,0.6244538628409807,0.06014434570142468,0.007547866345136864,0.13121945346162933,0.0038268925764543826,0.13081810792864124,0.0419894711457328,0.3248974410322532,0.7659999999999999,0.265,0.14737684865797945,0.219136348244933,0.07401699515777044,0.9828600677380809
5,Colorado,8,2010,5049071,551638,37684,54046,0.13371751079916452,0.08050024713924664,0.5012468827930174,0.171,0.063,0.079,0.207,0.071,0.145,0.8334929336505666,0.03923830740348076,0.009825173779493298,0.026499132216599847,0.0009748327959737543,0.0558570081506083,0.034112612003277434,0.408943908867772,0.857,0.302,0.1686324801844688,0.18909829790551053,0.07838527786349482,0.9943633599746332
6,Connecticut,9,2010,3577073,508153,39235,64032,0.10099432445037852,0.06586500283607488,0.48612538540596095,0.14,0.054000000000000006,0.081,0.198,0.075,0.14400000000000002,0.7821914733079253,0.09976872152175817,0.0015750307583882132,0.03755528612359882,0.0003681781165774364,0.05310515049595018,0.025436159675801977,0.3810820756740588,0.8,0.257,0.17705403706364028,0.24888368855049564,0.10171039491201486,0.9905326664260301
7,Delaware,10,2010,899769,129470,40301,55847,0.11829408192185707,0.07724630632210944,0.485331960885229,0.121,0.051,0.08,0.198,0.057999999999999996,0.135,0.7069058836212405,0.2129724407042252,0.0027451490326961697,0.030543395026945808,0.0013236730760895295,0.01984064798853928,0.025668810550263457,0.3721248165598208,0.805,0.219,0.15392742396694215,0.2093437984629644,0.11283439538880355,0.9984451868566462
8,District of Columbia,11,2010,604453,69427,41128,60903,0.19164975050485766,0.13092038463835634,0.4725738396624473,0.09,0.064,0.098,0.24100000000000002,0.087,0.16399999999999998,0.4018592016252711,0.5115716192987709,0.003188006346233702,0.03565537767204398,0.0003854724850401934,0.02783508395193671,0.019505238620703347,0.15591916689472396,0.767,0.35,0.20485077328704965,0.1982775090670776,0.1135394709732634,0.986307492885558
9,Florida,12,2010,18843326,3273199,35024,44409,0.16528600318016348,0.0993038922505614,0.4890137966274911,0.139,0.062,0.091,0.222,0.08,0.14800000000000002,0.7648045254855751,0.1590683619229429,0.0036009566464009594,0.02401805286391585,0.0006116223855597468,0.026297374465633086,0.02159910622997236,0.4001379078998863,0.8029999999999999,0.23,0.13089357025405418,0.23697510339701314,0.12390697573925367,0.9856907548725204
10,Georgia,13,2010,9712587,1033898,32183,46430,0.17878149734950258,0.10660788737334684,0.4882292732855681,0.147,0.08199999999999999,0.111,0.272,0.09699999999999999,0.18100000000000002,0.6069768023699557,0.3064845648229457,0.002270764730344243,0.03254519110099091,0.00026079560471375956,0.03304341057639947,0.018418470794650282,0.3314737043692898,0.741,0.199,0.14230249780539278,0.16612604774165346,0.13477351956398134,0.9885095383487058
11,Hawaii,15,2010,1363621,198126,51293,63030,0.10719835219806194,0.06810431552609178,0.5017438963627305,0.152,0.052000000000000005,0.099,0.19899999999999998,0.073,0.157,0.2460823058606461,0.01491983476347167,0.0019506886444253934,0.38935818676890427,0.0989138477626848,0.011092524975781394,0.2376826112240865,0.125591795120277,0.797,0.237,0.1856924107890938,0.194054763610026,0.09105631970426996,0.984228854438053
12,Idaho,16,2010,1571450,196841,33725,43490,0.15712970049161404,0.07882835043802162,0.5012468827930174,0.193,0.068,0.095,0.221,0.076,0.14300000000000002,0.9222202424512392,0.0056451048394794605,0.013866810907123994,0.011911292118743836,0.0013331636386776544,0.021737249037513125,0.023286137007222627,0.44628405667518456,0.841,0.197,0.13839131964377346,0.2153108676546045,0.1248289865426064,0.998316297720008
13,Illinois,17,2010,12843166,1614822,34673,52972,0.13805691684517274,0.08381044313945887,0.4900560938296787,0.136,0.063,0.08,0.233,0.083,0.158,0.7245613737298109,0.14530256791822202,0.0023004452328966238,0.04595237654017709,0.000312072583971896,0.06268026123776645,0.01889090275715505,0.3529051499174522,0.789,0.201,0.14855971600213524,0.2206882059867898,0.11016110941271744,0.98700463226142
14,Indiana,18,2010,6490621,842991,32172,44613,0.15295697758823415,0.06790913057274314,0.4926433282597666,0.158,0.062,0.087,0.239,0.079,0.146,0.8508551030787347,0.09044496666805844,0.0025143973126762445,0.01585672618999014,0.00018503622380662806,0.02031885700921376,0.019824913517520127,0.39588441632235694,0.792,0.147,0.145751799876867,0.20526904303841914,0.11586402552910775,0.9954114112327463
15,Iowa,19,2010,3049883,452823,32487,47961,0.12558490786038204,0.06657739514101163,0.4936708860759494,0.14400000000000002,0.051,0.066,0.195,0.059000000000000004,0.12,0.9153124890364648,0.031211033341278994,0.002999131442091385,0.016969831301725344,0.00016328495224243028,0.015212058954392675,0.01813217097180449,0.418759647809409,0.838,0.152,0.1664149329075599,0.2274768473377015,0.10813371161128588,0.9971118846995264
16,Kansas,20,2010,2859169,379035,34653,48257,0.13602944488182592,0.07745695525898967,0.4957135653050933,0.161,0.066,0.094,0.249,0.078,0.13699999999999998,0.8522913475908559,0.057645770501848624,0.009030246200906629,0.02482259705529824,0.0003105797523686078,0.024634430493615453,0.03126502840510652,0.4009761631511602,0.84,0.207,0.17776505244634394,0.20602974104502225,0.08739645153032974,0.9957530853238724
