,geo_id,County,state_abbr,fips,value,range,year
0,0500000US01001,Autauga,AL,01001,13.4,12.1 - 13.6 (554),2011-2013
1,0500000US01001,Autauga,AL,01001,12.3,12.0 - 13.5 (578),2012-2014
2,0500000US01001,Autauga,AL,01001,12.4,11.9 - 13.4 (570),2013-2015
3,0500000US01001,Autauga,AL,01001,14.0,13.8 - 23.7 (566),2014-2016
5,0500000US01001,Autauga,AL,01001,15.3,14.3 - 25.3 (557),2015-2017
6,0500000US01003,Baldwin,AL,01003,12.6,12.1 - 13.6 (554),2011-2013
7,0500000US01003,Baldwin,AL,01003,13.0,12.0 - 13.5 (578),2012-2014
8,0500000US01003,Baldwin,AL,01003,13.0,11.9 - 13.4 (570),2013-2015
9,0500000US01003,Baldwin,AL,01003,12.2,12.2 - 13.7 (567),2014-2016
10,0500000US01003,Baldwin,AL,01003,12.3,11.2 - 12.5 (569),2015-2017
11,0500000US01005,Barbour,AL,01005,12.7,12.1 - 13.6 (554),2011-2013
12,0500000US01005,Barbour,AL,01005,12.7,12.0 - 13.5 (578),2012-2014
13,0500000US01005,Barbour,AL,01005,13.3,11.9 - 13.4 (570),2013-2015
14,0500000US01005,Barbour,AL,01005,14.3,13.8 - 23.7 (566),2014-2016
15,0500000US01005,Barbour,AL,01005,14.3,14.3 - 25.3 (557),2015-2017
16,0500000US01007,Bibb,AL,01007,14.3,13.7 - 25.8 (563),2011-2013
17,0500000US01007,Bibb,AL,01007,14.3,13.6 - 25.0 (534),2012-2014
18,0500000US01007,Bibb,AL,01007,16.0,13.5 - 25.3 (551),2013-2015
19,0500000US01007,Bibb,AL,01007,13.4,12.2 - 13.7 (567),2014-2016
20,0500000US01007,Bibb,AL,01007,12.6,12.6 - 14.2 (570),2015-2017
21,0500000US01009,Blount,AL,01009,13.4,12.1 - 13.6 (554),2011-2013
22,0500000US01009,Blount,AL,01009,13.2,12.0 - 13.5 (578),2012-2014
23,0500000US01009,Blount,AL,01009,13.6,13.5 - 25.3 (551),2013-2015
24,0500000US01009,Blount,AL,01009,13.1,12.2 - 13.7 (567),2014-2016
25,0500000US01009,Blount,AL,01009,14.0,12.6 - 14.2 (570),2015-2017
26,0500000US01011,Bullock,AL,01011,11.4,10.7 - 12.0 (552),2011-2013
27,0500000US01011,Bullock,AL,01011,11.2,10.6 - 11.9 (568),2012-2014
28,0500000US01011,Bullock,AL,01011,13.4,11.9 - 13.4 (570),2013-2015
29,0500000US01011,Bullock,AL,01011,16.7,13.8 - 23.7 (566),2014-2016
30,0500000US01011,Bullock,AL,01011,14.0,12.6 - 14.2 (570),2015-2017
31,0500000US01013,Butler,AL,01013,14.3,13.7 - 25.8 (563),2011-2013
32,0500000US01013,Butler,AL,01013,15.5,13.6 - 25.0 (534),2012-2014
33,0500000US01013,Butler,AL,01013,15.8,13.5 - 25.3 (551),2013-2015
34,0500000US01013,Butler,AL,01013,16.4,13.8 - 23.7 (566),2014-2016
35,0500000US01013,Butler,AL,01013,15.3,14.3 - 25.3 (557),2015-2017
36,0500000US01015,Calhoun,AL,01015,15.0,13.7 - 25.8 (563),2011-2013
