County,state,value,range,year
Blaine,ID,11.2,11.2 - 31.8 (631),2013-2015
Hood River,OR,13.7,11.2 - 31.8 (631),2013-2015
Dawes,NE,14.0,11.2 - 31.8 (631),2013-2015
Perkins,SD,14.1,11.2 - 31.8 (631),2013-2015
Valley,ID,14.3,11.2 - 31.8 (631),2013-2015
Idaho,ID,14.4,11.2 - 31.8 (631),2013-2015
Scott,KS,14.6,11.2 - 31.8 (631),2013-2015
Fallon,MT,14.6,11.2 - 31.8 (631),2013-2015
Grant,OR,14.7,11.2 - 31.8 (631),2013-2015
Mitchell,KS,14.7,11.2 - 31.8 (631),2013-2015
Kit Carson,CO,14.7,11.2 - 31.8 (631),2013-2015
Cheyenne,NE,14.9,11.2 - 31.8 (631),2013-2015
Richland,MT,15.0,11.2 - 31.8 (631),2013-2015
Fergus,MT,15.4,11.2 - 31.8 (631),2013-2015
Foster,ND,15.4,11.2 - 31.8 (631),2013-2015
Lemhi,ID,15.4,11.2 - 31.8 (631),2013-2015
Chaffee,CO,15.5,11.2 - 31.8 (631),2013-2015
Adams,ND,15.5,11.2 - 31.8 (631),2013-2015
Park,MT,15.6,11.2 - 31.8 (631),2013-2015
Deuel,NE,15.8,11.2 - 31.8 (631),2013-2015
Sedgwick,CO,15.9,11.2 - 31.8 (631),2013-2015
Johnson,WY,15.9,11.2 - 31.8 (631),2013-2015
Stanley,SD,16.0,11.2 - 31.8 (631),2013-2015
Teton,ID,16.0,11.2 - 31.8 (631),2013-2015
Essex,VT,16.1,11.2 - 31.8 (631),2013-2015
Dawson,MT,16.3,11.2 - 31.8 (631),2013-2015
Beaverhead,MT,16.3,11.2 - 31.8 (631),2013-2015
Cherokee,IA,16.4,11.2 - 31.8 (631),2013-2015
Minidoka,ID,16.5,11.2 - 31.8 (631),2013-2015
Grand,UT,16.5,11.2 - 31.8 (631),2013-2015
Wallowa,OR,16.6,11.2 - 31.8 (631),2013-2015
Mono,CA,16.7,11.2 - 31.8 (631),2013-2015
Baker,OR,16.8,11.2 - 31.8 (631),2013-2015
Madison,MT,16.8,11.2 - 31.8 (631),2013-2015
