County,state,value,range,year
Crawford,WI,4.2,4.2 - 9.3 (597),2015-2017
Orleans,VT,4.2,4.2 - 9.3 (597),2015-2017
Montezuma,CO,4.2,4.2 - 9.3 (597),2015-2017
Union,IA,4.3,4.2 - 9.3 (597),2015-2017
Transylvania,NC,4.3,4.2 - 9.3 (597),2015-2017
Inyo,CA,4.5,4.2 - 9.3 (597),2015-2017
Emmet,IA,4.7,4.2 - 9.3 (597),2015-2017
Jefferson,NE,4.7,4.2 - 9.3 (597),2015-2017
Custer,MT,4.7,4.2 - 9.3 (597),2015-2017
Oxford,ME,4.7,4.2 - 9.3 (597),2015-2017
Caledonia,VT,4.7,4.2 - 9.3 (597),2015-2017
Bonner,ID,4.8,4.2 - 9.3 (597),2015-2017
Winneshiek,IA,4.9,4.2 - 9.3 (597),2015-2017
Brown,MN,4.9,4.2 - 9.3 (597),2015-2017
Grand,UT,4.9,4.2 - 9.3 (597),2015-2017
Johnson,WY,5.0,4.2 - 9.3 (597),2015-2017
Whitman,WA,5.0,4.2 - 9.3 (597),2015-2017
Pipestone,MN,5.0,4.2 - 9.3 (597),2015-2017
Burt,NE,5.0,4.2 - 9.3 (597),2015-2017
Latah,ID,5.0,4.2 - 9.3 (597),2015-2017
Clearwater,ID,5.0,4.2 - 9.3 (597),2015-2017
Lucas,IA,5.1,4.2 - 9.3 (597),2015-2017
Mono,CA,5.1,4.2 - 9.3 (597),2015-2017
Chaffee,CO,5.1,4.2 - 9.3 (597),2015-2017
Cuming,NE,5.1,4.2 - 9.3 (597),2015-2017
Lake,MT,5.1,4.2 - 9.3 (597),2015-2017
Dawson,MT,5.1,4.2 - 9.3 (597),2015-2017
Park,MT,5.1,4.2 - 9.3 (597),2015-2017
Redwood,MN,5.1,4.2 - 9.3 (597),2015-2017
Redwood,MN,5.1,4.2 - 9.3 (597),2015-2017
Sevier,UT,5.1,4.2 - 9.3 (597),2015-2017
Fajardo,PR,5.2,4.2 - 9.3 (597),2015-2017
Thayer,NE,5.2,4.2 - 9.3 (597),2015-2017
Macon,NC,5.2,4.2 - 9.3 (597),2015-2017
Marion,IA,5.2,4.2 - 9.3 (597),2015-2017
Allamakee,IA,5.3,4.2 - 9.3 (597),2015-2017
Cloud,KS,5.3,4.2 - 9.3 (597),2015-2017
Eagle,CO,5.3,4.2 - 9.3 (597),2015-2017
Keith,NE,5.3,4.2 - 9.3 (597),2015-2017
Pitkin,CO,5.4,4.2 - 9.3 (597),2015-2017
Cass,IA,5.4,4.2 - 9.3 (597),2015-2017
Cherokee,IA,5.4,4.2 - 9.3 (597),2015-2017
San Juan,PR,5.4,4.2 - 9.3 (597),2015-2017
Carbon,WY,5.4,4.2 - 9.3 (597),2015-2017
Park,WY,5.4,4.2 - 9.3 (597),2015-2017
Teton,WY,5.4,4.2 - 9.3 (597),2015-2017
Meade,SD,5.4,4.2 - 9.3 (597),2015-2017
Rusk,WI,5.5,4.2 - 9.3 (597),2015-2017
Rusk,WI,5.5,4.2 - 9.3 (597),2015-2017
Delaware,IA,5.5,4.2 - 9.3 (597),2015-2017
Howard,IA,5.5,4.2 - 9.3 (597),2015-2017
Shelby,IA,5.5,4.2 - 9.3 (597),2015-2017
Archuleta,CO,5.5,4.2 - 9.3 (597),2015-2017
Grand,CO,5.5,4.2 - 9.3 (597),2015-2017
Lincoln,ME,5.5,4.2 - 9.3 (597),2015-2017
Taos,NM,5.5,4.2 - 9.3 (597),2015-2017
Fergus,MT,5.6,4.2 - 9.3 (597),2015-2017
Guaynabo,PR,5.6,4.2 - 9.3 (597),2015-2017
San Juan,UT,5.6,4.2 - 9.3 (597),2015-2017
Isabela,PR,5.7,4.2 - 9.3 (597),2015-2017
Polk,WI,5.7,4.2 - 9.3 (597),2015-2017
Los Alamos,NM,5.7,4.2 - 9.3 (597),2015-2017
